Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,1,,1,,,,,1
,CHLS,,,,,,,1,,1,,,,,1
,CNPM,,,,,,,,,,,,,,
,CNSA,,,,,,,,,,,,,,
,INTA,,,,,,,,1,1,,,,,1
,PSAA,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,2,2,4,,,,,4
"Geosciences
Liberal Arts",ATMO,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1
,GEOL,1,,,1,,2,,,,,,,,2
,GEOP,,,,1,,1,,,,,,,,1
,GEOS,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,
,METR,,,,1,,1,,,,,,,,1
,OCNG,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,1,1,,,1
,Subtotal,1,,,3,,4,,,,2,2,,,6
,ANTH,,,,,,,,1,1,,,,,1
,CLSS,,,,,,,,,,,,,,
,COMM,,,2,5,,7,,,,,,,,7
,ECON,,1,,2,,3,,,,,,,,3
,ENGL,,1,3,3,,7,,,,1,1,,,8
,FREN,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,1,1,4,,6,,,,1,1,,,7
,INTS,1,2,1,3,,7,,,,,,,,7
,MUSC,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PHIL,,,,,,,,,,,,,,
,POLS,,,,4,,4,,,,,,,,4
