Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity Hispanic,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
13
14
14
43
18
14
33
3
3
19
7
181
7
7
2
8
6
3
6
6
3
3
25
1
32
9
104
75
12
7
3
97","Sophomore
10
7
12
29
17
19
21
11
5
16
3
3
153
1
2
3
6
2
10
8
8
13
6
3
18
3
28
12
5
116
37
3
7
2
49","Junior
12
7
9
7
12
31
26
37
13
21
7
8
190
1
5
2
8
6
22
19
19
12
16
11
1
31
6
33
33
12
221
43
5
3
51","Senior
16
8
12
26
32
24
71
17
18
8
7
239
1
6
6
13
12
14
19
16
30
17
13
2
27
5
56
15
9
235
36
4
1
1
42","PB
1
1
1
3","Total
51
36
47
79
73
97
105
122
39
74
18
25
766
10
13
11
34
22
54
52
46
61
45
30
6
101
15
149
69
26
676
191
24
18
6
239",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,2,2,,,52,
,,,,,,,,2,2,,,,,38,
,,,,,,,,,,,,,,49,
,,,,,,,,,,,,,,79,
,,,,,,,,5,6,1,1,,,80,
,,,,,,,2,7,9,3,3,,,109,
,,,,,,,,2,2,1,1,,,108,
,,,,,,,,1,1,,,,,123,
,,,,,,,,5,5,,,,,44,
,,,,,,,1,6,7,,,,,81,
,,,,,,,,1,1,,,,,19,
,,,,,,,,2,2,,,,,27,
,,,,,,,4,32,36,7,7,,,809,
,,,,,,,,9,9,,,,,9,
,,,,,,,,9,9,,,,,9,
,,,,,,,2,,2,,,,,12,
,,,,,,,,3,3,3,3,,,19,
,,,,,,,1,2,3,,,,,14,
,,,,,,,,2,2,,,,,2,
,,,,,,,3,7,10,3,3,,,47,
,,,,,,,,4,4,2,2,,,28,
,,,,,,,,,,,,,,54,
,,,,,,,,1,1,1,1,,,54,
,,,,,,,1,1,2,4,4,,,52,
,,,,,,,2,1,3,1,1,,,65,
,,,,,,,,1,1,,,,,46,
,,,,,,,1,5,6,,,,,36,
,,,,,,,,3,3,,,,,9,
,,,,,,,,2,2,1,1,,,104,
,,,,,,,,,,,,,,15,
,,,,,,,,5,5,9,9,,,163,
,,,,,,,,,,3,3,,,72,
,,,,,,,,4,4,1,1,,,31,
,,,,,,,4,27,31,22,22,,,729,
,,,,,,,,2,2,1,1,,,194,
,,,,,,,,10,10,5,5,,,39,
,,,,,,,1,2,3,1,1,,,22,
,,,,,,,,2,2,1,1,,,9,
,,,,,,,1,16,17,8,8,,,264,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
