Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,
"Fall 2002
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
230
2
194
240
78
744
241
341
757
686
592
650
111
135
1018
89
1533
856
327
7336
1441
436
447
196
98
2618
2395
39
5
4
54
39
2536
3502
3502
8
6
1
39
23
77
45083",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,84,105,2,1,4,8,1,,1,,8,14,1,1,101,129,,
,2,,,,,,,,,,,,,,2,,,
,62,95,2,2,7,12,,,,,3,10,1,,75,119,,
,70,94,,,9,5,3,2,,2,13,36,4,2,99,141,,
,19,27,,,2,,,1,,,12,15,1,1,34,44,,
,237,321,4,3,22,25,4,3,1,2,36,75,7,4,311,433,,
,99,86,,1,20,8,4,4,1,1,8,4,3,2,135,106,,
,164,91,8,2,36,18,9,4,1,,3,2,2,1,223,118,,
,140,427,4,3,20,34,12,18,1,1,24,61,3,9,204,553,,
,433,139,9,6,37,15,6,,3,,16,9,9,4,513,173,,
,162,324,6,6,22,43,3,1,4,3,,1,5,12,202,390,,
,435,132,14,2,34,12,4,3,1,1,5,1,5,1,498,152,,
,43,27,,,21,15,,1,,,2,,,2,66,45,,
,28,80,,1,2,7,3,3,,,1,2,2,6,36,99,,
,339,497,18,8,44,60,10,11,2,3,4,12,4,6,421,597,,
,41,27,3,1,5,10,,,1,,,,1,,51,38,,
,910,323,44,5,123,40,38,9,8,3,7,5,12,6,1142,391,,
,553,185,7,3,45,27,10,2,6,1,3,3,6,5,630,226,,
,182,65,12,4,22,9,3,5,1,,13,8,3,,236,91,,
,3529,2403,125,42,431,298,102,61,29,13,86,108,55,54,4357,2979,,
,692,347,33,12,116,78,74,35,4,2,16,18,5,9,940,501,,
,110,152,9,4,13,26,10,8,,1,34,66,2,1,178,258,,
,201,134,2,3,10,12,8,6,,1,17,43,7,3,245,202,,
,17,76,,4,,9,,3,,,11,75,,1,28,168,,
,10,14,,,,,3,,,,38,33,,,51,47,,
,1030,723,44,23,139,125,95,52,4,4,116,235,14,14,1442,1176,,
,1330,625,31,3,150,85,77,37,7,6,7,3,23,11,1625,770,,
,18,6,,,1,1,,,,,4,8,,1,23,16,,
,4,1,,,,,,,,,,,,,4,1,,
,2,1,,,,,1,,,,,,,,3,1,,
,17,18,,1,2,1,2,,,,5,7,,1,26,28,,
,9,10,1,,1,1,2,,,,8,6,1,,22,17,,
,1380,661,32,4,154,88,82,37,7,6,24,24,24,13,1703,833,,
,1318,1567,48,74,150,196,31,55,6,11,10,8,9,19,1572,1930,,
,1318,1567,48,74,150,196,31,55,6,11,10,8,9,19,1572,1930,,
,2,1,,,2,,,,,,1,2,,,5,3,,
,3,2,,,,,,,,,1,,,,4,2,,
,,1,,,,,,,,,,,,,,1,,
,,,,,,,,,,,14,25,,,14,25,,
,8,3,,2,1,2,2,,,,4,1,,,15,8,,
,13,7,,2,3,2,2,,,,20,28,,,38,39,,
,17014,17533,621,427,1817,1897,621,728,102,109,1029,2650,235,300,21439,23644,,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,
