Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity Black,,,,,,,,,,,,,,,
"Fall 2002
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
10
10
76
76
243","Sophomore
8
8
39
39
179","Junior
5
5
7
7
189","Senior
11
11
270","PB
2","Total
34
34
122
122
883",PB,Master,Total,PhD,Total,Professional,Total,,
,,,,,,,,,,,,Veterinary,,,
,,,,,,,2,1,1,1,1,,,34,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,36,
,,,,,,,,,,,,,,122,
,,,,,,,,,,,,,,122,
,,,,,,,,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,15,63,78,87,87,,,1048,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
