Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity Black,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
8
3
14
12
1
6
1
4
53
2
2
1
1
1
1
8
2
9
1
2
26
16
2
2
2
22","Sophomore
3
9
6
4
1
9
6
5
1
1
45
2
2
4
3
5
4
1
10
3
34
6
1
7","Junior
1
5
3
7
9
11
1
2
2
2
43
2
2
1
5
3
3
3
4
1
7
1
18
3
3
52
10
2
12","Senior
3
1
3
8
8
19
30
10
1
83
1
2
3
2
1
4
3
6
7
9
5
4
41
13
4
2
19","PB
1
1","Total
8
17
15
20
27
17
43
47
12
12
4
3
225
3
4
7
1
10
7
12
9
16
1
26
4
46
9
12
153
45
8
5
2
60",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,3,3,,,9,
,,,,,,,,,,,,,,17,
,,,,,,,,2,2,,,,,17,
,,,,,,,,1,1,,,,,24,
,,,,,,,,1,1,1,1,,,29,
,,,,,,,,1,1,2,2,,,20,
,,,,,,,,,,1,1,,,44,
,,,,,,,,,,,,,,47,
,,,,,,,,2,2,2,2,,,16,
,,,,,,,,1,1,,,,,13,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,10,10,9,9,,,244,
,,,,,,,,2,4,,,,,4,
,,,,,,,2,2,4,,,,,4,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,7,
,,,,,,,1,2,3,,,,,15,
,,,,,,,,1,1,2,2,,,12,
,,,,,,,,,,,,,,16,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,26,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,2,2,,,49,
,,,,,,,1,,1,,,,,10,
,,,,,,,1,2,3,1,1,,,16,
,,,,,,,3,6,9,5,5,,,167,
,,,,,,,,,,,,,,45,
,,,,,,,,3,3,2,2,,,13,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,4,4,3,3,,,67,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
