Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,
Fall 2002,,Undergraduate,,,,,Masters,,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmit ted,Contin uing,1st Time PB,1st Time Graduate,1st Time Transfer,Readmit ted,Contin uing,1st Time Graduate,Readmit ted,Contin uing,1st Time Professional,Contin uing,,
"Agriculture        ADEV
AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BAEN BESC BICH BSEN DASC ENTO FISC FLOR FORS FSTC GENE HORT MEPS NRDV NUSC NUTR PLBR PLPA PLSC POSC PPHY PPRO PREP PSSC RENR RLEM RPTS RRDV SOSC TOXI WFSC WISC",,"53
70
14
35
23
2
4
10
10
94
16
43
3
3
1
1
5
38
4
42
11
3
1
8
39","1
1
1
1","63
29
3
37
4
6
10
13
17
10
44
7
8
1
3
3
1
6
1
5
8
14
12
2
4
14
26
26","24
2
1
3
1
20
4
1
5
5
8
3
2
1
2
2
2
4
4
6
8","701
83
138
315
65
48
221
107
167
174
519
141
122
29
10
31
3
30
59
157
126
209
124
2
33
94
285
330","2
4
4
1
1
1
1
1","5
15
11
20
8
10
1
1
18
3
23
8
2
1
6
9
7
4
3
2
3
3
3
2
2
3
10
5
5
21
7",1,"1
1
1","6
28
25
31
13
1
29
21
18
17
4
29
8
15
7
4
29
8
4
2
1
1
12
21
15
1
9
1
72","8
3
2
1
2
3
3
1
2
6
2
1
1
3
1
4
6
1
7
1","1
1
1","36
45
15
1
15
9
63
26
8
21
20
9
10
17
18
20
12
1
8
27
22
1
9
1
51
1",,,"852
184
187
450
104
115
77
253
168
195
201
2
729
35
172
285
33
16
91
2
6
60
122
237
175
22
7
268
52
29
28
2
170
2
1
24
4
40
176
374
2
24
2
557
9",
,Subtotal,533,4,377,108,4323,15,221,1,3,432,58,3,466,,,6544,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
