Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity Asian,,,,,,,,,,,,,,,
"Fall 2002
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
27
27
49
49
256","Sophomore
23
23
34
34
213","Junior
23
23
3
3
291","Senior
27
27
413","PB
4","Total
100
100
86
86
1177",PB,Master,Total,PhD,Total,Professional,Total,,
,,,,,,,,,,,,Veterinary,,,
,,,,,,,2,1,1,1,1,14,14,114,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,3,3,2,2,14,14,119,
,,,,,,,,,,,,,,86,
,,,,,,,,,,,,,,86,
,,,,,,,,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,11,94,105,53,53,14,14,1349,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
