Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity White,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
157
68
92
92
196
174
181
47
23
257
34
57
1378
55
7
21
83
7
38
30
60
50
73
10
10
145
18
223
103
23
790
311
42
51
34
438","Sophomore
84
34
78
25
138
166
165
99
34
166
39
36
1064
21
14
18
53
16
58
81
92
69
83
9
15
174
13
254
164
41
1069
200
30
58
9
297","Junior
68
37
88
13
170
206
204
274
46
202
37
45
1390
33
42
33
108
30
78
216
155
150
162
17
30
267
24
348
228
77
1782
219
40
86
15
360","Senior
95
58
127
2
242
247
236
473
66
271
28
44
1889
43
69
39
151
47
81
222
194
152
238
26
28
210
13
345
211
72
1839
256
43
70
14
383","PB
1
2
1
4
11
2
2
2
25
1
3
4
1
1","Total
405
197
387
132
747
797
797
895
169
898
138
184
5746
153
132
114
399
100
255
549
501
421
556
62
83
796
68
1170
706
213
5480
987
155
265
72
1479",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,6,13,13,5,5,,,423,
,,,,,,,,14,14,3,3,,,214,
,,,,,,,,5,5,9,9,,,401,
,,,,,,,,3,3,9,9,,,144,
,,,,,,,,40,46,19,19,,,812,
,,,,,,,4,58,62,13,13,,,872,
,,,,,,,,26,26,11,11,,,834,
,,,,,,,,12,12,,,,,907,
,,,,,,,1,10,11,6,6,,,186,
,,,,,,,,55,55,12,12,,,965,
,,,,,,,,19,19,7,7,,,164,
,,,,,,,2,6,8,3,3,,,195,
,,,,,,,13,261,274,97,97,,,6117,
,,,,,,,30,61,91,,,,,91,
,,,,,,,30,61,91,,,,,91,
,,,,,,,6,25,31,5,5,,,189,
,,,,,,,,2,2,,,,,2,
,,,,,,,1,10,11,14,14,,,157,
,,,,,,,,34,34,16,16,,,164,
,,,,,,,,32,32,14,14,,,46,
,,,,,,,7,103,110,49,49,,,558,
,,,,,,,2,53,55,30,30,,,185,
,,,,,,,,,,,,,,255,
,,,,,,,,8,8,10,10,,,567,
,,,,,,,2,27,29,42,42,,,572,
,,,,,,,8,17,25,40,40,,,486,
,,,,,,,1,10,11,,,,,567,
,,,,,,,1,7,8,,,,,70,
,,,,,,,,22,22,3,3,,,108,
,,,,,,,1,16,17,23,23,,,836,
,,,,,,,,,,,,,,68,
,,,,,,,1,23,24,39,39,,,1233,
,,,,,,,3,9,12,20,20,,,738,
,,,,,,,,14,14,20,20,,,247,
,,,,,,,19,206,225,227,227,,,5932,
,,,,,,,2,18,20,32,32,,,1039,
,,,,,,,1,47,48,59,59,,,262,
,,,,,,,21,41,62,8,8,,,335,
,,,,,,,,8,8,13,13,,,93,
,,,,,,,1,10,11,13,13,,,24,
,,,,,,,25,124,149,125,125,,,1753,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
