Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,
"Fall 2002
Agriculture             AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin     ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education               EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
821
1228
1167
388
509
257
96
74
196
205
189
193
379
260
582
6544
884
663
246
1793
730
2301
722
518
450
808
5529
495
369
1531
2201
4596
592
362
631
282
1305
1266
1487
1169
543
1410
251
393
9691
117
117",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,279,423,1,3,9,19,3,2,1,2,17,56,4,2,314,507,,
,536,557,12,29,23,29,3,6,3,4,5,8,7,6,589,639,,
,673,335,6,4,63,19,6,5,6,,24,13,7,6,785,382,,
,43,285,6,1,8,16,1,1,,,9,15,,3,67,321,,
,175,150,16,2,27,25,16,16,3,1,38,33,1,6,276,233,,
,66,125,6,13,17,21,1,1,,5,,1,,1,90,167,,
,28,36,2,,5,4,4,3,,,6,6,1,1,46,50,,
,7,46,,,1,2,,,,2,1,12,2,1,11,63,,
,97,60,,1,4,3,,1,1,1,7,18,2,1,111,85,,
,77,54,6,5,17,14,3,4,,1,9,10,2,3,114,91,,
,58,85,1,2,7,12,2,3,,1,11,7,,,79,110,,
,46,116,,,2,5,2,1,,1,6,12,1,1,57,136,,
,152,162,,3,7,17,,2,,3,18,10,3,2,180,199,,
,28,164,,3,2,1,1,,,1,18,38,,4,49,211,,
,202,289,5,,17,24,3,5,,2,11,12,5,7,243,339,,
,2467,2887,61,66,209,211,45,50,14,24,180,251,35,44,3011,3533,,
,291,326,6,9,33,36,17,17,1,4,51,78,6,9,405,479,,
,63,480,,4,10,44,3,3,,2,16,35,,3,92,571,,
,70,87,1,1,10,7,1,1,,1,28,32,4,3,114,132,,
,424,893,7,14,53,87,21,21,1,7,95,145,10,15,611,1182,,
,353,265,11,,27,14,13,10,1,1,20,7,4,4,429,301,,
,1030,909,37,17,76,68,35,34,2,3,17,56,6,11,1203,1098,,
,229,376,4,1,15,23,13,10,,3,18,18,3,9,282,440,,
,136,243,10,5,12,15,15,17,1,,28,29,3,4,205,313,,
,175,186,5,3,17,18,8,5,1,2,11,12,4,3,221,229,,
,474,225,7,3,37,17,7,5,4,1,8,10,4,6,541,267,,
,2397,2204,74,29,184,155,91,81,9,10,102,132,24,37,2881,2648,,
,217,146,24,12,41,18,4,2,2,,16,7,2,4,306,189,,
,212,52,12,1,42,7,2,,2,1,26,6,5,1,301,68,,
,790,516,30,15,67,56,9,8,6,1,6,11,6,10,914,617,,
,1855,90,42,12,119,14,15,2,20,,19,2,10,1,2080,121,,
,3074,804,108,40,269,95,30,12,30,2,67,26,23,16,3601,995,,
,82,341,6,3,16,36,4,11,,1,7,76,1,8,116,476,,
,99,115,13,4,19,19,14,21,,2,17,36,2,1,164,198,,
,124,277,11,6,21,28,15,17,,,31,90,6,5,208,423,,
,39,105,14,10,27,52,5,14,,,1,13,,2,86,196,,
,98,714,12,17,15,65,23,69,,1,73,203,3,12,224,1081,,
,165,707,6,14,25,84,6,23,1,4,28,188,5,10,236,1030,,
,69,765,17,27,12,96,20,102,,5,48,315,2,9,168,1319,,
,140,767,20,27,26,97,6,46,,8,5,15,4,8,201,968,,
,71,115,11,5,15,29,11,10,,1,31,235,6,3,145,398,,
,128,837,4,9,8,73,8,29,,4,10,287,,13,158,1252,,
,45,119,2,3,5,14,5,7,,1,12,30,1,7,70,181,,
,37,158,2,1,7,20,,7,,2,28,125,2,4,76,317,,
,1097,5020,118,126,196,613,117,356,1,29,291,1613,32,82,1852,7839,,
,48,43,,4,7,2,1,,,1,2,5,2,2,60,57,,
,48,43,,4,7,2,1,,,1,2,5,2,2,60,57,,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,
