Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,
"Fall 2002
Architecture      ARCH
COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC VIZA
Subtotal
Business            ACCT
Admin                AGBU BUAD FINC INFO MGMT MISY MKTG MLER
Subtotal
Education          CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH INST KINE PHED SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,,PhD,,,Professional,,Total,
,"1st Time in College
39
102
11
152
7
914
921
9
234
3
117
363","1st Time PB
2
1
1
4","1st Time Transfer
24
24
13
61
5
32
1
2
2
3
45
14
208
6
92
1
321","Readmit ted
2
3
1
1
7
1
11
2
5
2
7
28
2
8
14
3
5
5
37","Contin uing
299
228
173
313
61
51
1125
581
6
1030
528
396
381
727
3649
135
568
10
620
131
931
263
28
2686",1st Time PB,1st Time Graduate,1st Time Transfer,Readmit ted,Contin uing,1st Time Graduate,Readmit ted,Contin uing,1st Time Professional,Contin uing,,
,,,,,,4,63,,1,79,10,4,42,,,198,
,,,,,,,23,,,48,,,,,,71,
,,,,,,,,,,,,,,,,299,
,,,,,,,,,,,,,,,,293,
,,,,,,,,,,,,,,,,302,
,,,,,,,,,,,,,,,,314,
,,,,,,,12,,,13,,,1,,,87,
,,,,,,,,,,,,,,,,76,
,,,,,,1,11,,,6,,,,,,18,
,,,,,,,17,,,10,,,,,,27,
,,,,,,,1,,,,3,,34,,,38,
,,,,,,,16,,,54,,,,,,70,
,,,,,,5,143,,,210,13,,77,,,1793,
,,,,,,,101,,,26,2,,14,,,730,
,,,,,,,,,,,,,,,,13,
,,,,,,7,142,,,152,,,,,,2288,
,,,,,,,98,,,40,2,,6,,,677,
,,,,,,,1,,,,2,,10,,,416,
,,,,,,,24,,,18,3,,20,,,450,
,,,,,,,48,,,54,,,,,,102,
,,,,,,,35,,,25,3,,8,,,808,
,,,,,,,21,,,24,,,,,,45,
,,,,,,7,470,,,339,12,,58,,,5529,
,,,,,,,6,,,2,6,,35,,,49,
,,,,,,24,27,,,81,39,,143,,,319,
,,,,,,21,38,,,59,9,1,87,,,215,
,,,,,,,,,,,,,,,,160,
,,,,,,,,,,,,,,,,1020,
,,,,,,,,,,,,,,,,20,
,,,,,,,,,,,,,,,,843,
,,,,,,,10,,1,29,,,,,,40,
,,,,,,4,2,,1,30,6,,113,,,156,
,,,,,,26,40,,,70,13,,83,,,232,
,,,,,,,6,,,5,3,,12,,,26,
,,,,,,,,,,,,,,,,134,
,,,,,,,,,,,,,,,,937,
,,,,,,6,27,,1,31,4,,21,,,358,
,,,,,,,3,,,3,,,4,,,10,
,,,,,,,3,,,2,2,,41,,,48,
,,,,,,,,,,,,,,,,29,
,,,,,,81,162,,4,312,82,5,539,,,4596,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,
