Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity  International,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
10
1
21
8
4
4
51
2
2
1
1
6
1
1","Sophomore
3
6
1
11
5
20
4
4
54
1
1
1
2
1
6
2
3
5","Junior
2
4
12
6
13
12
11
6
1
3
70
1
1
1
5
2
1
9
1
1","Senior
2
1
9
25
8
26
8
26
6
3
3
117
1
1
7
1
1
1
12
2
1
3","PB
1
1
1
1
1
5","Total
8
1
21
1
59
21
80
20
50
21
4
11
297
1
1
1
4
15
1
2
2
6
1
1
33
6
4
10",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,35,35,40,40,,,83,
,,,,,,,,33,33,19,19,,,53,
,,,,,,,,39,40,60,60,,,121,
,,,,,,,,1,1,12,12,,,14,
,,,,,,,7,128,135,82,82,,,276,
,,,,,,,,106,106,89,89,,,216,
,,,,,,,1,120,121,162,162,,,363,
,,,,,,,,,,,,,,20,
,,,,,,,1,173,174,42,42,,,266,
,,,,,,,1,187,188,88,88,,,297,
,,,,,,,,20,20,18,18,,,42,
,,,,,,,1,110,111,31,31,,,153,
,,,,,,,12,952,964,643,643,,,1904,
,,,,,,,2,5,7,,,,,7,
,,,,,,,2,5,7,,,,,7,
,,,,,,,2,8,10,11,11,,,22,
,,,,,,,,5,5,8,8,,,13,
,,,,,,,,26,26,23,23,,,49,
,,,,,,,,9,9,18,18,,,27,
,,,,,,,2,48,50,60,60,,,111,
,,,,,,,,9,9,2,2,,,12,
,,,,,,,,1,1,,,,,5,
,,,,,,,,32,32,38,38,,,85,
,,,,,,,2,9,11,14,14,,,25,
,,,,,,,,,,,,,,1,
,,,,,,,1,3,4,,,,,6,
,,,,,,,1,1,2,,,,,2,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,1,1,2,12,12,,,16,
,,,,,,,,1,1,5,5,,,12,
,,,,,,,,1,1,4,4,,,6,
,,,,,,,1,5,6,14,14,,,21,
,,,,,,,6,65,71,90,90,,,194,
,,,,,,,,7,7,21,21,,,34,
,,,,,,,1,39,40,60,60,,,100,
,,,,,,,,21,21,35,35,,,60,
,,,,,,,,26,26,60,60,,,86,
,,,,,,,,35,35,36,36,,,71,
,,,,,,,1,128,129,212,212,,,351,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
