Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity Asian,,,,,,,,,,,,,,,
"Fall 2002
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
14
2
14
6
3
15
2
9
2
1
71
1
1
3
1
2
2
2
4
6
1
21
34
3
37","Sophomore
5
4
4
1
13
7
20
3
4
3
2
1
67
2
3
3
2
7
1
18
19
3
1
1
24","Junior
3
7
10
3
21
11
32
8
5
6
2
3
111
1
1
1
4
12
2
1
2
1
8
12
1
1
45
21
4
5
30","Senior
4
9
14
40
6
46
39
9
9
2
178
1
1
2
3
12
2
1
5
1
6
15
9
4
60
33
2
3
1
39","PB
3
1
4","Total
15
34
30
18
80
27
116
52
18
28
8
5
431
1
2
3
5
13
28
6
4
7
1
3
20
40
11
6
144
107
9
12
2
130",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,,,15,
,,,,,,,,,,,,,,35,
,,,,,,,,1,1,,,,,32,
,,,,,,,,1,1,,,,,19,
,,,,,,,,5,7,5,5,,,92,
,,,,,,,,1,1,1,1,,,29,
,,,,,,,,5,5,1,1,,,122,
,,,,,,,,,,,,,,52,
,,,,,,,,3,3,,,,,21,
,,,,,,,,8,8,1,1,,,37,
,,,,,,,,2,2,2,2,,,12,
,,,,,,,,2,2,,,,,7,
,,,,,,,2,29,31,11,11,,,473,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,2,2,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,2,2,,,7,
,,,,,,,,3,3,,,,,8,
,,,,,,,,,,,,,,13,
,,,,,,,,2,2,,,,,30,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,,,,,6,
,,,,,,,,1,1,,,,,21,
,,,,,,,,3,3,4,4,,,47,
,,,,,,,,,,1,1,,,12,
,,,,,,,,,,2,2,,,8,
,,,,,,,,12,12,7,7,,,163,
,,,,,,,,1,1,1,1,,,109,
,,,,,,,,5,5,4,4,,,18,
,,,,,,,2,,2,,,,,14,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,2,8,10,7,7,,,147,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
