Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity  International,,,,,,,,,,,,,,,
"Fall 2002
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
4
13
13
23
23
107","Sophomore
2
2
4
4
79","Junior
2
2
123","Senior
2
2
1
1
179","PB
5","Total
10
10
18
18
23
23
493",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,4,8,8,,,10,
,,,,,,,,,,,,,,12,
,,,,,,,,7,7,5,5,,,12,
,,,,,,,,2,2,12,12,,,14,
,,,,,,,1,12,13,25,25,,,48,
,,,,,,,,,,,,,,18,
,,,,,,,,,,,,,,18,
,,,,,,,3,,3,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,16,,16,,,,,39,
,,,,,,,5,,5,,,,,5,
,,,,,,,24,1,25,,,,,48,
,,,,,,,59,1736,1795,1391,1391,,,3679,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
