Headcount by Major by Level,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education         CPSY
EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY TECR",,"160
1020
20
843
134
0
937
268
29","-22.3%
-8.6%
122.2%
16.0%
7.2%
-100.0%
49.0%
4.7%
45.0%","8
133
118
40
37
136
11
65
6
5","166.7%
3.1%
-22.9%
-2.4%
-22.9%
7.1%
57.1%
62.5%
-25.0%
66.7%","41
186
97
119
96
15
25
4
43","0.0%
7.5%
-11.8%
-7.8%
11.6%
7.1%
25.0%
-33.3%
-12.2%",,,"49
319
215
160
1020
20
843
40
156
232
26
134
0
937
358
10
48
29","11.4%
5.6%
-18.3%
-22.3%
-8.6%
122.2%
16.0%
-2.4%
-11.9%
8.9%
23.8%
7.2%
-100.0%
49.0%
13.3%
-28.6%
-7.7%
45.0%",
,Subtotal,3411,10.4%,559,0.0%,626,-0.3%,,,4596,7.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
