Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"33
88
22
76
26
42
25
73
35
92
88
33
27
256
58
151
79
53
43
107
11
77
78
261
13
38
6
46
31
19
0
2
12","13.8%
7.3%
-24.1%
1.3%
23.8%
-12.5%
-21.9%
-29.1%
-10.3%
-34.8%
-22.1%
-25.0%
-28.9%
-1.2%
0.0%
-23.7%
11.3%
-35.4%
-6.5%
-16.4%
-35.3%
8.5%
47.2%
15.5%
-31.6%
-17.4%
-25.0%
-14.8%
-13.9%
-38.7%
-100.0%
-33.3%
0.0%","48
24
6
11
35
4
64
92
61
10
8
45
120
24
15
76
1","45.5%
-7.7%
-45.5%
22.2%
0.0%
-20.0%
-28.9%
-20.0%
-16.4%
100.0%
-20.0%
-13.5%
-7.0%
20.0%
7.1%
2.7%
0.0%","36
26
13
12
72
11
87
76
113
5
41
9
101
23
14
27","-2.7%
0.0%
85.7%
100.0%
10.8%
-38.9%
2.4%
5.6%
-0.9%
0.0%
10.8%
-35.7%
1.0%
0.0%
16.7%
22.7%",,,"33
172
22
126
26
61
25
96
35
199
15
239
33
27
424
58
325
5
10
79
53
8
43
107
11
163
9
78
482
13
85
6
75
134
19
0
2
12
1","13.8%
13.2%
-24.1%
-0.8%
23.8%
-7.6%
-21.9%
-18.6%
-10.3%
-17.4%
-34.8%
-17.0%
-25.0%
-28.9%
-4.9%
0.0%
-15.6%
0.0%
100.0%
11.3%
-35.4%
-20.0%
-6.5%
-16.4%
-35.3%
1.9%
-35.7%
47.2%
5.9%
-31.6%
-4.5%
-25.0%
-6.3%
1.5%
-38.7%
-100.0%
-33.3%
0.0%
0.0%",
,Subtotal,"2,001",-10.8%,644,-8.3%,666,3.6%,,,"3,311",-7.7%,
"G. Bush             BUSH
School of          INTA",,,,"33
70","13.8%
25.0%",,,,,"33
70","13.8%
25.0%",
Govt,Subtotal,,,103,21.2%,,,,,103,21.2%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
