"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
4
4
4
19","Sophomore
2
2
1
1
22","Junior
1
1
3
1
1
1
6
4
4
2
2
69","Senior
1
1
3
4
1
10
1
1
2
4
4
113","PB
1","Total
1
2
3
2
1
6
1
1
4
2
17
7
3
1
11
6
6
4
4
224",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,5,2,2,17,17,,,19,
,,,,,,,,4,4,10,10,,,15,
,,,,,,,,13,13,16,16,,,31,
,,,,,,,,4,4,11,11,,,15,
,,,,,,,,23,23,54,54,,,80,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,3,3,,,6,
,,,,,,,,3,3,16,16,,,25,
,,,,,,,,,,4,4,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,2,2,11,11,,,13,
,,,,,,,,,,8,8,,,12,
,,,,,,,,1,1,6,6,,,9,
,,,,,,,,14,14,51,51,,,82,
,,,,,,,,9,9,20,20,,,36,
,,,,,,,,37,37,62,62,,,102,
,,,,,,,,9,9,34,34,,,43,
,,,,,,,,18,18,57,57,,,76,
,,,,,,,,3,3,20,20,,,23,
,,,,,,,,76,76,193,193,,,280,
,,,,,,,,,,,,,,6,
,,,,,,,,,,4,4,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,9,9,6,6,,,15,
,,,,,,,,,,8,8,,,8,
,,,,,,,,10,10,18,18,,,34,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,5,,,,,5,
,,,,,,,,31,31,57,57,,,88,
,,,,,,,1,,1,,,,,1,
,,,,,,,2,,2,,,,,2,
,,,,,,,8,31,39,57,57,,,96,
,,,,,,,14,718,732,"1,206","1,206",,,"2,162",
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
