Country,Undergraduate,Masters,PhD,Professional,Total Students
Guatemala,2,1,1,,4
Honduras,5,,1,,6
Hong Kong,8,2,7,,17
India,42,253,195,,490
Indonesia,26,16,7,,49
Iran,1,5,10,,16
Iraq,,1,1,,2
Ireland,,,1,,1
Israel,,,1,,1
Italy,1,1,3,,5
Jamaica,,1,5,,6
Japan,2,12,8,,22
Jordan,,5,8,,13
Kazakhstan,,1,,,1
Kenya,,1,2,,3
"Korea, Republic of",15,67,230,,312
Kuwait,,1,,,1
Lebanon,1,2,7,,10
Liberia,1,,,,1
Lithuania,1,,,,1
Madagascar,,,1,,1
Malawi (Central Africa),,,2,,2
Malaysia,6,,2,,8
Mali,,,3,,3
Mauritius,,,1,,1
Mexico,10,24,40,,74
Moldova,,,1,,1
Mongolia,1,,,,1
Morocco,,,1,,1
Mozambique,,1,,,1
Nepal,,2,2,,4
Netherlands,,1,1,,2
Nicaragua,3,,,,3
Niger,,,1,,1
Nigeria,14,13,5,,32
Norway,1,,,,1
Oman,1,1,1,,3
Other Foreign or US,5,2,2,,9
Pakistan,7,5,5,,17
Panama,2,2,,,4
Paraguay,,1,1,,2
