Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,573,2.7%,199,-17.1%,41,-6.8%,,,813,-3.4%,
Gender,Female,147,-3.9%,83,-12.6%,14,55.6%,,,244,-5.1%,
,Male,426,5.2%,116,-20.0%,27,-22.9%,,,569,-2.7%,
Ethnicity,White,485,3.4%,104,-7.1%,11,10.0%,,,600,1.5%,
,Black,9,-10.0%,4,33.3%,,,,,13,0.0%,
,Hispanic,59,9.3%,12,-7.7%,2,100.0%,,,73,7.4%,
,Asian,10,-37.5%,10,11.1%,,,,,20,-20.0%,
,American Indian,6,100.0%,,,,,,,6,100.0%,
,International,2,-50.0%,66,-31.3%,26,-16.1%,,,94,-28.2%,
,Unknown/Other,2,0.0%,3,-57.1%,2,0.0%,,,7,-36.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,213,-1.4%,,,,,,,213,-1.4%,
,22-25,335,7.0%,80,-22.3%,1,100.0%,,,416,0.0%,
,26-30,17,-5.6%,83,-11.7%,8,-20.0%,,,108,-11.5%,
,31-39,7,-22.2%,28,-28.2%,21,-19.2%,,,56,-24.3%,
,40+,1,-50.0%,8,100.0%,11,37.5%,,,20,42.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,12,-20.0%,1,100.0%,,,13,-13.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,7,75.0%,,,,,,,7,75.0%,
,Readmitted,3,50.0%,0,-100.0%,0,-100.0%,,,3,-25.0%,
,Continuing,563,2.0%,187,-15.8%,40,-7.0%,,,790,-3.3%,
Tuition,Resident Tuition,548,2.4%,109,-11.4%,13,30.0%,,,670,0.3%,
Status,Non-Resident Tuition,15,0.0%,18,-10.0%,12,-7.7%,,,45,-6.3%,
,Tuition  Exemption/Waiver,10,25.0%,72,-25.8%,16,-23.8%,,,98,-22.2%,
Residency,Texas Resident,548,2.2%,109,-10.7%,13,30.0%,,,670,0.3%,
Status,"Non-TX, US Resident",23,27.8%,24,20.0%,2,-33.3%,,,49,19.5%,
,"Non-TX, Non-US Resident",2,-50.0%,66,-32.7%,26,-16.1%,,,94,-29.3%,
SCH,< 6 SCH,150,7.1%,106,-10.9%,32,68.4%,,,288,3.6%,
Categories,6-8 SCH,164,-12.3%,57,-31.3%,8,-66.7%,,,229,-22.1%,
,9-11 SCH,122,17.3%,30,11.1%,1,0.0%,,,153,15.9%,
,12-14 SCH,104,-2.8%,6,-45.5%,,,,,110,-6.8%,
,15-17 SCH,29,45.0%,,,,,,,29,45.0%,
,>17 SCH,4,100.0%,,,,,,,4,100.0%,
Ft/Pt:,Less Than Half Time,44,22.2%,24,-27.3%,9,-18.2%,,,77,-3.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","135
1","10.7%
0.0%",15,-74.6%,1,-80.0%,,,"151
1","-18.8%
0.0%",
,Full-Time,393,-1.5%,160,8.1%,31,10.7%,,,584,1.6%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
