Top 10,,,,,,,,,
Summer 2005 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,165,,,,95.9%,,
Viet Nam Socialist Repu,,,2,,,,1.2%,,
Venezuela,,,1,,,,0.6%,,
Uruguay,,,1,,,,0.6%,,
Russia,,,1,,,,0.6%,,
Hong Kong,,,1,,,,0.6%,,
"China, People's Rep of",,,1,,,,0.6%,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,37,,,21.5%,,,,
Harris,,28,,,16.3%,,,,
Fort Bend,,8,,,4.7%,,,,
Williamson,,6,,,3.5%,,,,
Bexar,,5,,,2.9%,,,,
Tarrant,,5,,,2.9%,,,,
Travis,,5,,,2.9%,,,,
Montgomery,,4,,,2.3%,,,,
Brazoria,,3,,,1.7%,,,,
Austin,,3,,,1.7%,,,,
State        Students  % Total,,,,,,,,,
Texas,161,,,93.6%,,,,,
Florida,2,,,1.2%,,,,,
North Carolin,1,,,0.6%,,,,,
Missouri,1,,,0.6%,,,,,
