"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3
1
1
1
3
11
3
1
2
6
4
4
73
73
128","Sophomore
1
1
2
3
6
2
4
2
1
4
1
7
2
32
8
8
10
10
37
37
158","Junior
1
1
3
1
6
1
13
18
10
6
1
6
7
1
2
20
1
24
6
116
9
5
3
17
16
16
10
10
406","Senior
1
1
8
1
11
5
26
12
14
13
2
10
17
3
20
3
31
8
164
26
3
5
1
35
33
33
646","PB
1","Total
3
2
12
2
19
6
43
37
26
26
3
19
26
1
5
45
5
62
19
323
46
9
10
1
66
63
63
120
120
1,339",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,7,7,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,,,,,2,
,,,,,,,,3,3,,,,,22,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,44,
,,,,,,,,4,5,,,,,43,
,,,,,,,,1,1,1,1,,,28,
,,,,,,,,,,2,2,,,28,
,,,,,,,,,,,,,,3,
,,,,,,,1,,1,1,1,,,21,
,,,,,,,,2,2,,,,,28,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,6,
,,,,,,,,1,1,4,4,,,50,
,,,,,,,,,,,,,,5,
,,,,,,,,5,5,6,6,,,73,
,,,,,,,,5,5,3,3,,,27,
,,,,,,,2,20,22,18,18,,,363,
,,,,,,,,2,2,,,,,48,
,,,,,,,,6,6,12,12,,,27,
,,,,,,,,6,6,1,1,,,17,
,,,,,,,,2,2,2,2,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,17,17,15,15,,,98,
,,,,,,,,,,,,,,70,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,4,4,2,2,7,7,76,
,,,,,,,,,,,,,,120,
,,,,,,,,,,,,,,120,
,,,,,,,,5,5,2,2,,,7,
,,,,,,,,5,5,2,2,,,7,
,,,,,,,5,184,189,154,154,7,7,"1,689",
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
