Summer 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,45,-15.1%,1,0.0%,7,16.7%,2,-50.0%,1,-50.0%,35,-23.9%,4,0.0%,94,-17.5%,
,COMG,17,-19.0%,1,-50.0%,0,-100.0%,2,100.0%,,,18,-48.6%,0,-100.0%,38,-37.7%,
,COSC,230,6.5%,2,0.0%,21,23.5%,4,33.3%,,,1,0.0%,1,0.0%,260,7.4%,
,COSL,91,21.3%,2,100.0%,10,11.1%,1,-50.0%,1,100.0%,,,1,100.0%,106,21.8%,
,ENDL,60,53.8%,2,-33.3%,9,50.0%,2,-50.0%,2,100.0%,0,-100.0%,,,75,33.9%,
,ENDS,87,-26.9%,3,0.0%,17,-19.0%,3,-50.0%,1,100.0%,1,100.0%,0,-100.0%,112,-25.3%,
,LAND,17,13.3%,1,100.0%,3,100.0%,,,1,100.0%,7,-36.4%,0,-100.0%,29,7.4%,
,LANL,9,-30.8%,0,-100.0%,1,0.0%,0,-100.0%,,,,,,,10,-37.5%,
,LDEV,9,0.0%,,,1,0.0%,,,,,5,-44.4%,,,15,-21.1%,
,URPL,8,-11.1%,1,100.0%,1,0.0%,,,,,8,14.3%,0,-100.0%,18,0.0%,
,URSC,6,20.0%,,,,,,,,,13,-7.1%,1,0.0%,20,0.0%,
,VIZA,21,23.5%,,,3,-40.0%,6,50.0%,,,6,20.0%,0,-100.0%,36,12.5%,
,Subtotal,600,1.5%,13,0.0%,73,7.4%,20,-20.0%,6,100.0%,94,-28.2%,7,-36.4%,813,-3.4%,
Business,ACCT,448,-8.2%,10,11.1%,24,-11.1%,20,-13.0%,2,100.0%,13,-13.3%,2,100.0%,519,-7.8%,
Admin,AGBU,4,0.0%,,,1,0.0%,,,,,,,,,5,0.0%,
,BUAD,210,-6.3%,4,-42.9%,18,38.5%,8,-33.3%,2,100.0%,13,8.3%,1,0.0%,256,-4.8%,
,BUAG,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,FINC,333,-14.0%,4,-33.3%,16,6.7%,8,-46.7%,1,-50.0%,11,-21.4%,2,-50.0%,375,-15.3%,
,INFO,60,-28.6%,0,-100.0%,6,0.0%,4,-33.3%,3,0.0%,10,11.1%,1,0.0%,84,-25.7%,
,MGMT,226,5.1%,8,14.3%,21,-4.5%,9,-25.0%,1,0.0%,10,-16.7%,1,0.0%,276,2.2%,
,MISY,20,-28.6%,2,100.0%,0,-100.0%,1,0.0%,,,39,2.6%,0,-100.0%,62,-11.4%,
,MKTG,292,-15.4%,6,-14.3%,19,-5.0%,10,0.0%,2,100.0%,13,-18.8%,0,-100.0%,342,-14.9%,
,MLER,46,35.3%,1,0.0%,4,33.3%,,,,,1,0.0%,2,100.0%,54,38.5%,
,Subtotal,"1,640",-9.4%,35,-16.7%,109,0.9%,60,-24.1%,11,83.3%,110,-6.0%,9,-30.8%,"1,974",-9.3%,
Education,CPSY,19,-32.1%,5,25.0%,5,66.7%,1,0.0%,,,3,50.0%,1,100.0%,34,-10.5%,
,EDAD,140,-12.5%,23,-20.7%,47,11.9%,,,2,100.0%,5,-16.7%,6,20.0%,223,-8.2%,
,EDCI,204,7.4%,34,-5.6%,26,-18.8%,4,0.0%,,,17,0.0%,4,300.0%,289,3.2%,
,EDHL,65,10.2%,4,-33.3%,9,50.0%,4,100.0%,,,,,,,82,12.3%,
,EDIS,165,-23.3%,4,-55.6%,21,-12.5%,2,0.0%,1,-50.0%,,,,,193,-23.4%,
,EDKI,202,-22.6%,13,8.3%,19,-24.0%,5,-28.6%,2,100.0%,1,0.0%,,,242,-21.2%,
,EDSM,57,100.0%,5,100.0%,10,100.0%,,,,,1,100.0%,1,100.0%,74,100.0%,
,EDTC,15,-16.7%,1,0.0%,2,100.0%,,,,,1,-50.0%,,,19,-13.6%,
,EHRD,69,-13.8%,13,8.3%,18,-10.0%,2,0.0%,,,9,-35.7%,1,-50.0%,112,-13.8%,
,EPSY,69,-11.5%,4,-20.0%,19,-32.1%,1,0.0%,,,15,-16.7%,0,-100.0%,108,-17.6%,
,HEED,16,-15.8%,8,100.0%,1,100.0%,,,,,3,50.0%,1,0.0%,29,11.5%,
,HLTH,89,-19.1%,1,-75.0%,7,-36.4%,,,0,-100.0%,,,1,0.0%,98,-22.8%,
,INST,469,-10.8%,9,12.5%,59,47.5%,6,200.0%,5,25.0%,0,-100.0%,2,0.0%,550,-5.8%,
,ISNC,179,72.1%,11,120.0%,25,38.9%,4,-20.0%,1,0.0%,1,-50.0%,0,-100.0%,221,62.5%,
,KINE,293,-6.1%,4,33.3%,25,0.0%,6,100.0%,1,-66.7%,14,40.0%,2,-50.0%,345,-4.2%,
,PHED,2,-50.0%,,,0,-100.0%,,,,,1,0.0%,,,3,-50.0%,
,SPMT,51,100.0%,2,100.0%,2,100.0%,,,,,,,,,55,100.0%,
,SPSY,18,-5.3%,6,20.0%,7,-22.2%,3,200.0%,,,1,-50.0%,1,0.0%,36,-2.7%,
,TECR,7,40.0%,,,2,100.0%,,,,,,,,,9,80.0%,
,Subtotal,"2,129",-2.7%,147,2.8%,304,6.7%,38,26.7%,12,-7.7%,72,-8.9%,20,5.3%,"2,722",-1.3%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,,,
