"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
5
4
4
1
1
38","Sophomore
1
1
1
1
5","Junior
1
1
1
1
1
1
15","Senior
2
3
3
4
2
14
1
1
1
3
2
2
46",PB,"Total
1
2
3
4
1
5
2
3
21
1
2
5
8
2
2
3
3
104",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,3,3,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,,,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,3,3,6,6,,,30,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,3,3,,,6,
,,,,,,,,2,2,,,,,4,
,,,,,,,,,1,,,,,6,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,5,6,4,4,,,18,
,,,,,,,,,,,,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,3,3,6,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,3,
,,,,,,,,,,3,3,,,3,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,3,3,,,4,
,,,,,,,4,41,45,32,32,3,3,184,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
