Summer 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Other -                 AGBU
Special                BIOT
Populations         FSTC GENE MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI",,"2
5
9
2
7
1
6","6
3
1
6
1
6
1
5
3
1
2",1,"1
1","1
1
2","1
1
1","2
1
2","1
1
1",,,"4
2
3
8
3
5
6
1
1
1
8","6
1
3
5
2
7
16
5
1
8","1
1",2,"7
9
4
19
3
8
16
3
1
1
15","12
6
5
15
3
13
18
11
4
1
11","19
15
9
34
6
21
18
27
7
2
1
26",
,Subtotal,32,35,1,2,4,3,5,3,,,42,54,2,2,86,99,185,
Grand Total,,"6,568","6,276",309,265,853,836,263,302,43,47,620,"1,542",76,108,"8,732","9,376",18108,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
