Top 10,,,,,,,,,
Summer 2005 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,15901,,,,87.8%,,
India,,,490,,,,2.7%,,
"China, People's Rep of",,,485,,,,2.7%,,
"Korea, Republic of",,,312,,,,1.7%,,
Mexico,,,74,,,,0.4%,,
Taiwan,,,71,,,,0.4%,,
Turkey,,,61,,,,0.3%,,
Colombia,,,52,,,,0.3%,,
Indonesia,,,49,,,,0.3%,,
Nigeria,,,32,,,,0.2%,,
State,Students  % Total,,,,,,,,
Texas,14666,,,81.0%,,,,,
Louisiana,123,,,0.7%,,,,,
California,98,,,0.5%,,,,,
Illinois,59,,,0.3%,,,,,
New Mexico,58,,,0.3%,,,,,
Florida,52,,,0.3%,,,,,
New York,47,,,0.3%,,,,,
Oklahoma,46,,,0.3%,,,,,
Pennsylvania,46,,,0.3%,,,,,
Missouri,41,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2543,,,14.0%,,,,
Brazos,,1427,,,7.9%,,,,
Bexar,,795,,,4.4%,,,,
Dallas,,752,,,4.2%,,,,
Tarrant,,734,,,4.1%,,,,
Fort Bend,,550,,,3.0%,,,,
Montgomery,,407,,,2.2%,,,,
Travis,,365,,,2.0%,,,,
Collin,,344,,,1.9%,,,,
Nueces,,252,,,1.4%,,,,
