"Summer 2005
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
1
3
6
4
1
5
2
2
160
160
215","1st Time PB
1
1
6","1st Time Transfer
1
5
7
3
3
3
4
4
2
32
3
3
1
1
172","Readmitted
1
1
1
2
5
1
2
3
6
1
23
2
2
4
3
3
2
2
123","Continuing
48
170
295
264
252
12
48
262
30
43
386
37
497
148
2,492
407
95
91
42
635
567
567
531
531
12,327",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,1,1,15,1,2,12,142,77,
,,,,,,,,,2,,,,,178,
,,,,,,,,,13,,,22,,339,
,,,,,,,,,8,,,21,,299,
,,,,,,,,,5,,,31,,297,
,,,,,,,,,,,,,,13,
,,,,,,1,,,3,,,1,,55,
,,,,,,,,,12,,,11,,293,
,,,,,,,,,3,,,,,33,
,,,,,,,,,3,,,3,,49,
,,,,,,,,,9,,,50,,456,
,,,,,,,,,,,,,,37,
,,,,,,,,,21,,,49,,576,
,,,,,,,,,15,,,23,,188,
,,,,,,2,1,1,109,1,,223,,"2,890",
,,,,,,2,,,26,,,48,,493,
,,,,,,1,3,,91,,,137,,327,
,,,,,,2,4,,52,,,52,,204,
,,,,,,29,1,,32,3,,72,,179,
,,,,,,,1,,11,1,,25,,38,
,,,,,,34,9,,212,4,,334,,"1,241",
,,,,,,,,,,,,,,714,
,,,,,,,2,,8,,,16,,26,
,,,,,,,,,3,,,,,3,
,,,,,,,,,1,,,,,1,
,,,,,,,,,21,,,34,,55,
,,,,,,,,,3,,,11,,14,
,,,,,,,2,,36,,,61,142,813,
,,,,,,,,,,,,,,694,
,,,,,,,,,,,,,,694,
,,,,,,3,,,3,,,,,6,
,,,,,,,6,,70,1,,94,,171,
,,,,,,1,,,,,,,,1,
,,,,,,5,,,2,,,,,7,
,,,,,,9,6,,75,1,,94,,185,
,,,,,,108,261,6,"2,284",46,,"2,416",142,"18,108",
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
