Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,161,-13.9%,94,-6.0%,88,18.9%,,,343,-5.0%,
Gender,Female,58,-6.5%,45,-2.2%,32,18.5%,,,135,0.0%,
,Male,103,-17.6%,49,-9.3%,56,19.1%,,,208,-8.0%,
Ethnicity,White,135,-18.2%,67,-9.5%,31,6.9%,,,233,-13.1%,
,Black,1,-66.7%,,,,,,,1,-66.7%,
,Hispanic,19,18.8%,3,50.0%,0,-100.0%,,,22,15.8%,
,Asian,2,100.0%,0,-100.0%,1,0.0%,,,3,50.0%,
,American Indian,1,100.0%,,,1,0.0%,,,2,100.0%,
,International,3,100.0%,23,21.1%,54,28.6%,,,80,31.1%,
,Unknown/Other,0,-100.0%,1,-75.0%,1,100.0%,,,2,-71.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,73,4.3%,,,,,,,73,4.3%,
,22-25,72,-27.3%,48,11.6%,5,150.0%,,,125,-13.2%,
,26-30,9,12.5%,27,-20.6%,33,22.2%,,,69,0.0%,
,31-39,7,-12.5%,15,-11.8%,37,2.8%,,,59,-3.3%,
,40+,0,-100.0%,4,-33.3%,13,44.4%,,,17,0.0%,
Enrollment,1st Time in College,1,100.0%,,,,,,,1,100.0%,
Status,1st Time PB,1,100.0%,0,-100.0%,,,,,1,-50.0%,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,2,-50.0%,,,,,,,2,-50.0%,
,Readmitted,3,100.0%,,,,,,,3,100.0%,
,Continuing,154,-15.8%,94,-3.1%,88,18.9%,,,336,-5.1%,
Tuition,Resident Tuition,151,-16.6%,39,8.3%,16,14.3%,,,206,-10.8%,
Status,Non-Resident Tuition,4,300.0%,8,-20.0%,10,0.0%,,,22,4.8%,
,Tuition  Exemption/Waiver,6,20.0%,47,-13.0%,62,24.0%,,,115,5.5%,
Residency,Texas Resident,152,-17.4%,38,5.6%,16,23.1%,,,206,-11.6%,
Status,"Non-TX, US Resident",6,100.0%,33,-26.7%,17,-10.5%,,,56,-16.4%,
,"Non-TX, Non-US Resident",3,100.0%,23,21.1%,55,31.0%,,,81,32.8%,
SCH,< 6 SCH,52,-30.7%,86,196.6%,81,326.3%,,,219,78.0%,
Categories,6-8 SCH,86,11.7%,6,-91.2%,6,-88.9%,,,98,-50.8%,
,9-11 SCH,12,-36.8%,2,-33.3%,1,0.0%,,,15,-34.8%,
,12-14 SCH,9,-43.8%,,,,,,,9,-43.8%,
,15-17 SCH,2,100.0%,,,,,,,2,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,13,-38.1%,20,42.9%,13,0.0%,,,46,-4.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","49
2","-23.4%
100.0%",0,-100.0%,0,-100.0%,,,"49
2","-31.0%
100.0%",
,Full-Time,97,-4.9%,74,-9.8%,75,29.3%,,,246,1.7%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
