"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
1
3
4
11
3
2
1
1
7
1
1
41
41
91","Sophomore
1
2
2
1
2
1
9
2
1
3
3
3
13
13
54","Junior
1
2
2
1
2
6
1
5
2
22
4
4
8
2
2
99","Senior
1
1
3
2
3
5
2
1
2
9
7
34
9
2
11
4
4
155",PB,"Total
1
1
5
6
5
9
5
1
10
2
19
14
76
18
7
3
1
29
8
8
56
56
399",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,7,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,11,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,12,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,22,
,,,,,,,,2,2,1,1,,,17,
,,,,,,,,8,8,4,4,,,88,
,,,,,,,,1,1,,,,,19,
,,,,,,,,1,1,3,3,,,11,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,4,4,3,3,,,36,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,1,1,9,
,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,56,
,,,,,,,,3,3,,,,,3,
,,,,,,,,3,3,,,,,3,
,,,,,,,,77,84,90,90,1,1,574,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
