Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,437,-2.2%,4,100.0%,31,-6.1%,,,441,-1.8%,
,AGBL,21,-30.0%,,,,,,,21,-30.0%,
,AGBU,45,-29.7%,1,-95.7%,,,,,46,-47.1%,
,AGEC,134,-20.2%,20,-16.7%,,,,,185,-17.8%,
,AGED,,,38,-7.3%,26,-35.0%,,,64,-21.0%,
,AGEN,30,-6.3%,0,-100.0%,,,,,30,-11.8%,
,AGJR,54,28.6%,,,,,,,54,28.6%,
,AGLS,158,-8.7%,,,,,,,158,-8.7%,
,AGRO,35,-10.3%,6,-45.5%,9,-25.0%,,,50,-19.4%,
,AGSC,67,-21.2%,,,,,,,67,-21.2%,
,AGSM,90,11.1%,1,100.0%,,,,,91,12.3%,
,ANBR,,,3,-25.0%,1,0.0%,,,4,-20.0%,
,ANSC,272,-8.4%,33,-15.4%,15,15.4%,,,320,-8.3%,
,BAEN,,,14,-48.1%,14,7.7%,,,28,-30.0%,
,BESC,84,1.2%,,,,,,,84,1.2%,
,BICH,88,23.9%,32,14.3%,73,7.4%,,,193,15.6%,
,BSEN,7,-56.3%,,,,,,,7,-56.3%,
,DASC,2,-50.0%,,,,,,,2,-50.0%,
,ECEN,,,1,100.0%,,,,,1,100.0%,
,ENTO,35,34.6%,23,-30.3%,26,52.9%,,,84,10.5%,
,FLOR,3,-25.0%,2,0.0%,,,,,5,-16.7%,
,FORS,19,72.7%,7,0.0%,6,100.0%,,,32,52.4%,
,FSTC,14,-41.7%,14,-39.1%,15,-11.8%,,,43,-32.8%,
,GENE,54,-10.0%,1,-94.1%,9,-55.0%,,,64,-34.0%,
,HORT,56,7.7%,10,-23.1%,17,6.3%,,,83,2.5%,
,MEPS,,,1,-87.5%,6,-64.7%,,,7,-72.0%,
,NRDV,,,5,-44.4%,,,,,5,-44.4%,
,NUSC,193,0.0%,,,,,,,193,0.0%,
,NUTR,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,PLBR,,,15,50.0%,16,14.3%,,,31,29.2%,
,PLPA,,,2,-66.7%,15,-6.3%,,,17,-22.7%,
,PLSC,,,2,100.0%,,,,,2,100.0%,
,POSC,76,-24.8%,9,-18.2%,12,9.1%,,,97,-21.1%,
,PPHY,,,,,0,-100.0%,,,0,-100.0%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,14,-6.7%,12,33.3%,,,26,8.3%,
,PSSC,1,-50.0%,,,,,,,1,-50.0%,
,RENR,10,-56.5%,,,,,,,10,-56.5%,
,RLEM,44,-26.7%,23,15.0%,15,-6.3%,,,82,-14.6%,
,RPTS,118,-12.6%,11,83.3%,15,15.4%,,,144,-6.5%,
,SOSC,,,8,-38.5%,5,-28.6%,,,13,-35.0%,
,TOXI,,,1,0.0%,2,0.0%,,,3,0.0%,
,WFSC,124,-17.9%,62,-6.1%,38,-2.6%,,,224,-12.5%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
