"Summer 2005
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
4
2
3
5
2
6
8
2
15
4
47
16
12
2
6
36
41
41
186
186
476","Sophomore
3
1
2
2
8
3
12
21
12
16
4
3
27
3
46
2
40
4
193
34
5
6
4
49
41
41
230
230
1,175","Junior
13
6
17
12
48
10
50
115
85
77
1
9
72
3
15
126
9
145
43
760
109
22
20
9
160
160
160
55
55
3,502","Senior
19
3
33
17
72
30
56
116
117
117
4
18
124
25
20
147
17
205
55
1,051
137
30
45
13
225
199
199
3
3
5,073","PB
1
2
3
3
3
25","Total
39
10
53
33
135
43
120
255
219
212
9
30
229
28
38
327
30
405
106
2,051
299
69
73
32
473
441
441
474
474
10,251",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,22,22,7,7,128,128,68,
,,,,,,,,,,,,,,10,
,,,,,,,,7,9,4,4,,,66,
,,,,,,,,16,16,9,9,,,58,
,,,,,,,,20,20,11,11,,,31,
,,,,,,,2,65,67,31,31,,,233,
,,,,,,,,12,12,9,9,,,64,
,,,,,,,,1,1,,,,,121,
,,,,,,,,5,5,15,15,,,275,
,,,,,,,,3,3,2,2,,,224,
,,,,,,,1,4,5,22,22,,,239,
,,,,,,,,,,,,,,9,
,,,,,,,,2,2,,,,,32,
,,,,,,,,11,11,9,9,,,249,
,,,,,,,,1,1,,,,,29,
,,,,,,,,1,1,1,1,,,40,
,,,,,,,,2,2,35,35,,,364,
,,,,,,,,,,,,,,30,
,,,,,,,,12,12,33,33,,,450,
,,,,,,,,7,7,12,12,,,125,
,,,,,,,1,61,62,138,138,,,"2,251",
,,,,,,,2,12,14,26,26,,,339,
,,,,,,,2,41,43,50,50,,,162,
,,,,,,,3,35,38,17,17,,,128,
,,,,,,,28,10,38,13,13,,,83,
,,,,,,,,7,7,5,5,,,12,
,,,,,,,35,105,140,111,111,,,724,
,,,,,,,,,,,,,,569,
,,,,,,,1,7,8,11,11,,,19,
,,,,,,,,2,2,,,,,2,
,,,,,,,,9,9,24,24,,,33,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,1,20,21,37,37,128,128,627,
,,,,,,,,,,,,,,474,
,,,,,,,,,,,,,,474,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,31,32,30,30,,,62,
,,,,,,,4,,4,,,,,4,
,,,,,,,6,31,37,30,30,,,67,
,,,,,,,144,"1,394","1,538",927,927,128,128,"12,844",
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,
