Summer 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,17,28,1,1,1,6,2,2,1,1,15,20,1,3,37,57,94,
,COMG,8,9,1,,,,,,,,8,10,,,17,21,38,
,COSC,22,208,1,,3,18,1,3,,,,1,,1,27,233,260,
,COSL,6,85,1,1,2,8,,1,,1,,,,1,9,97,106,
,ENDL,29,31,1,1,6,3,2,,,1,,,,,39,36,75,
,ENDS,47,40,2,1,8,9,2,1,1,,1,,,,61,51,112,
,LAND,8,9,,1,1,2,,,,1,7,,,,16,13,29,
,LANL,6,3,,,,1,,,,,,,,,6,4,10,
,LDEV,1,8,,,,1,,,,,1,4,,,2,13,15,
,URPL,4,4,,1,,1,,,,,2,6,,,6,12,18,
,URSC,2,4,,,,,,,,,5,8,,1,7,13,20,
,VIZA,10,11,,,3,,3,3,,,1,5,,,17,19,36,
,Subtotal,160,440,7,6,24,49,10,10,2,4,40,54,1,6,244,569,813,
Business,ACCT,271,177,5,5,17,7,13,7,,2,6,7,1,1,313,206,519,
Admin,AGBU,2,2,,,,1,,,,,,,,,2,3,5,
,BUAD,94,116,3,1,9,9,4,4,1,1,6,7,,1,117,139,256,
,BUAG,1,,,,,,,,,,,,,,1,,1,
,FINC,136,197,1,3,7,9,2,6,,1,2,9,,2,148,227,375,
,INFO,19,41,,,3,3,2,2,,3,6,4,,1,30,54,84,
,MGMT,116,110,6,2,17,4,7,2,,1,6,4,,1,152,124,276,
,MISY,11,9,2,,,,1,,,,14,25,,,28,34,62,
,MKTG,205,87,3,3,13,6,6,4,2,,5,8,,,234,108,342,
,MLER,14,32,,1,,4,,,,,,1,1,1,15,39,54,
,Subtotal,869,771,20,15,66,43,35,25,3,8,45,65,2,7,"1,040",934,1974,
Education,CPSY,10,9,3,2,3,2,1,,,,3,,1,,21,13,34,
,EDAD,88,52,14,9,33,14,,,2,,5,,2,4,144,79,223,
,EDCI,169,35,30,4,19,7,2,2,,,14,3,3,1,237,52,289,
,EDHL,57,8,4,,8,1,3,1,,,,,,,72,10,82,
,EDIS,158,7,4,,18,3,2,,,1,,,,,182,11,193,
,EDKI,119,83,5,8,11,8,,5,,2,,1,,,135,107,242,
,EDSM,19,38,,5,,10,,,,,,1,,1,19,55,74,
,EDTC,11,4,1,,1,1,,,,,1,,,,14,5,19,
,EHRD,45,24,10,3,11,7,,2,,,8,1,,1,74,38,112,
,EPSY,63,6,2,2,17,2,1,,,,11,4,,,94,14,108,
,HEED,10,6,5,3,1,,,,,,2,1,1,,19,10,29,
,HLTH,86,3,,1,4,3,,,,,,,1,,91,7,98,
,INST,452,17,7,2,54,5,5,1,5,,,,2,,525,25,550,
,ISNC,105,74,7,4,15,10,1,3,,1,1,,,,129,92,221,
,KINE,165,128,2,2,13,12,3,3,1,,3,11,,2,187,158,345,
,PHED,1,1,,,,,,,,,1,,,,2,1,3,
,SPMT,25,26,1,1,,2,,,,,,,,,26,29,55,
,SPSY,17,1,6,,5,2,3,,,,1,,1,,33,3,36,
,TECR,2,5,,,2,,,,,,,,,,4,5,9,
,Subtotal,"1,602",527,101,46,215,89,21,17,8,4,50,22,11,9,"2,008",714,2722,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,,,,
