Top 10,,,,,,,,
Summer 2005 Feeder Patterns First Time In College,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,31,,14.4%,,,,
Dallas,,19,,8.8%,,,,
Bexar,,14,,6.5%,,,,
Cameron,,10,,4.7%,,,,
Fort Bend,,10,,4.7%,,,,
Brazos,,8,,3.7%,,,,
Hidalgo,,6,,2.8%,,,,
Tarrant,,6,,2.8%,,,,
Williamson,,6,,2.8%,,,,
Bell,,5,,2.3%,,,,
State,Students  % Total,,,,,,,
Texas,207,,96.3%,,,,,
Oklahoma,2,,0.9%,,,,,
New York,1,,0.5%,,,,,
New Mexico,1,,0.5%,,,,,
Louisiana,1,,0.5%,,,,,
Country,,Students  % Total,,,,,,
United States,,212,,,98.6%,,,
Nigeria,,1,,,0.5%,,,
Eritrea,,1,,,0.5%,,,
"China, People's Rep",,1,,,0.5%,,,
