Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Black,,,,,,,,,,,,,,,
"Summer 2003
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
6
2
1
10
1
1
1
1
2
4
8
2
1
3","Sophomore
2
1
2
4
1
1
3
1
15
1
1
1
4
2
9
3
3","Junior
2
1
2
3
1
3
1
1
14
1
1
2
3
2
1
2
2
9
1
22
5
5","Senior
2
1
2
5
13
10
4
37
1
1
2
2
4
4
4
2
1
6
3
26
6
3
9","PB
1
1","Total
2
6
4
4
11
9
19
13
6
2
1
77
2
2
4
4
4
9
7
1
5
8
19
8
65
16
4
20",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,3,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,12,
,,,,,,,,,,1,1,,,10,
,,,,,,,,,,,,,,19,
,,,,,,,,,,,,,,13,
,,,,,,,,2,2,1,1,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,5,5,3,3,,,85,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,1,1,,,21,
,,,,,,,,1,1,,,,,9,
,,,,,,,,3,3,1,1,,,69,
,,,,,,,,,,,,,,16,
,,,,,,,,2,2,3,3,,,9,
,,,,,,,,1,2,1,1,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,4,5,4,4,,,29,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
