Headcount by Major by Level,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,AERL,22,-15.4%,34,6.3%,34,-12.8%,,,22,-15.4%,
,AERO,88,-10.2%,,,,,,,156,-7.7%,
,BMEL,32,23.1%,,,,,,,32,23.1%,
,BMEN,73,-8.8%,25,-24.2%,21,10.5%,,,119,-9.8%,
,CECL,32,3.2%,,,,,,,32,3.2%,
,CECN,63,-36.4%,10,100.0%,4,300.0%,,,77,-26.7%,
,CEEL,37,-21.3%,,,,,,,37,-21.3%,
,CEEN,104,15.6%,4,-33.3%,6,200.0%,,,114,16.3%,
,CHEL,40,-20.0%,,,,,,,40,-20.0%,
,CHEN,141,-13.0%,28,0.0%,69,-4.2%,,,238,-9.2%,
,CPEN,,,16,23.1%,21,23.5%,,,37,23.3%,
,CPSC,176,7.3%,93,8.1%,81,65.3%,,,350,17.1%,
,CPSL,37,-26.0%,,,,,,,37,-26.0%,
,CVEL,37,-33.9%,,,,,,,37,-33.9%,
,CVEN,263,14.3%,114,16.3%,75,38.9%,,,452,18.3%,
,ELEL,47,-29.9%,,,,,,,47,-29.9%,
,ELEN,208,1.0%,63,-6.0%,116,-7.2%,,,387,-2.8%,
,ENGR,,,1,-50.0%,4,100.0%,,,5,25.0%,
,ENSM,,,3,200.0%,,,,,3,200.0%,
,ENTC,122,-41.6%,,,,,,,122,-41.6%,
,ENTL,64,64.1%,,,,,,,64,64.1%,
,HLPH,,,6,-25.0%,,,,,6,-25.0%,
,IDIL,52,-29.7%,,,,,,,52,-29.7%,
,IDIS,148,-14.0%,15,100.0%,,,,,163,-5.2%,
,IHYG,,,0,-100.0%,,,,,0,-100.0%,
,INEL,18,-41.9%,,,,,,,18,-41.9%,
,INEN,76,-14.6%,74,-14.9%,43,34.4%,,,193,-7.2%,
,ITDE,,,1,0.0%,14,-6.7%,,,15,-6.3%,
,MEEL,48,-7.7%,,,,,,,48,-7.7%,
,MEEN,273,-3.2%,126,-14.9%,86,16.2%,,,485,-3.8%,
,NUEL,11,-35.3%,,,,,,,11,-35.3%,
,NUEN,45,25.0%,18,12.5%,27,8.0%,,,90,16.9%,
,OCEL,7,-53.3%,,,,,,,7,-53.3%,
,OCEN,45,21.6%,13,30.0%,12,-14.3%,,,70,14.8%,
,PETE,28,-12.5%,86,7.5%,28,-9.7%,,,142,-0.7%,
,PETL,25,127.3%,,,,,,,25,127.3%,
,PREN,35,0.0%,,,,,,,35,0.0%,
,RHEL,2,-60.0%,,,,,,,2,-60.0%,
,RHEN,9,-30.8%,,,,,,,9,-30.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
