Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,Total,,"Total
355
745
563
163
258
194
76
44
106
117
89
113
175
139
273
3410
364
349
85
798
554
335
427
201
244
446
2207
57
374
234
791
977
2433
178
151
278
57
508
566
608
401
214
533
120
167
3781
62
62",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,Female,Male,Female,Male,Female,Male,,
,115,171,1,3,3,4,1,2,,,,12,41,2,,134,221,,
,299,341,11,25,16,26,2,2,3,,3,4,3,4,6,339,406,,
,323,155,2,4,28,12,4,2,2,,,18,9,1,3,378,185,,
,22,103,3,1,3,4,,1,,,,9,16,,1,37,126,,
,62,71,7,4,11,8,6,9,,,,37,30,7,6,130,128,,
,46,89,1,20,17,14,2,3,1,,1,,,,,67,127,,
,26,22,,,3,6,3,2,,,,6,6,1,1,39,37,,
,4,26,,,,,,,,,1,1,10,2,,7,37,,
,44,34,,1,3,,1,,,,,7,15,1,,56,50,,
,40,26,4,3,8,10,2,2,,,,8,12,,2,62,55,,
,34,32,1,,3,5,,1,,,,6,6,1,,45,44,,
,30,65,,,1,1,1,1,1,,,4,8,1,,38,75,,
,84,59,,,4,12,1,2,,,3,7,2,1,,97,78,,
,17,68,,3,1,,,,,,,16,30,1,3,35,104,,
,96,121,4,,9,15,1,3,,,1,10,7,,6,120,153,,
,"1,242","1,383",34,64,110,117,24,30,7,,9,145,195,22,28,"1,584","1,826",,
,106,143,,5,11,17,6,5,1,,1,31,33,3,2,158,206,,
,25,263,1,2,5,28,2,1,,,2,6,12,,2,39,310,,
,14,28,,1,3,1,,,,,,17,18,2,1,36,49,,
,145,434,1,8,19,46,8,6,1,,3,54,63,5,5,233,565,,
,274,200,11,,18,7,14,6,,,1,13,7,1,2,331,223,,
,149,122,6,4,10,8,6,3,,,2,6,17,,2,177,158,,
,142,217,3,2,9,12,5,8,,,3,8,14,2,2,169,258,,
,48,95,1,1,6,7,7,2,1,,,14,16,1,2,78,123,,
,96,93,3,,15,7,3,4,,,1,8,9,3,2,128,116,,
,267,111,5,1,22,9,7,4,3,,1,4,7,3,2,311,135,,
,976,838,29,8,80,50,42,27,4,,8,53,70,10,12,"1,194","1,013",,
,25,13,2,2,6,4,,3,,,,,,1,1,34,23,,
,152,106,27,12,30,14,2,3,2,,,15,6,2,3,230,144,,
,137,27,11,2,31,4,1,,,,,14,4,3,,197,37,,
,401,266,20,10,33,26,7,7,4,,1,4,8,2,2,471,320,,
,766,52,36,8,68,6,10,2,9,,,13,1,5,1,907,70,,
,"1,481",464,96,34,168,54,20,15,15,,1,46,19,13,7,"1,839",594,,
,12,82,2,1,4,11,2,4,,,,4,54,1,1,25,153,,
,38,44,6,,7,6,6,8,,,1,5,26,4,,66,85,,
,37,111,3,2,9,7,8,11,,,,21,65,2,2,80,198,,
,3,24,4,1,5,7,1,1,,,,,11,,,13,44,,
,35,229,5,7,7,18,10,32,,,,43,114,1,7,101,407,,
,65,257,1,9,14,47,5,10,,,1,20,129,4,4,109,457,,
,24,253,6,13,3,31,8,36,,,,26,204,1,3,68,540,,
,48,259,5,8,12,31,3,21,,,1,1,8,1,3,70,331,,
,17,35,8,1,7,11,4,4,,,,17,108,1,1,54,160,,
,36,268,,2,5,28,3,9,,,3,8,164,1,6,53,480,,
,15,48,,,4,5,1,5,,,,10,26,2,4,32,88,,
,6,37,1,,2,5,,5,,,1,19,91,,,28,139,,
,336,"1,647",41,44,79,207,51,146,,,7,174,"1,000",18,31,699,"3,082",,
,23,24,,,6,2,1,,,,1,1,3,1,,32,30,,
,23,24,,,6,2,1,,,,1,1,3,1,,32,30,,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,,
