Country,Undergraduate,Masters,PhD,Professional,Total Students
Philippines,,2,6,,8
Poland,,1,,,1
Portugal,2,1,4,,7
Romania,,2,12,,14
Russia,2,9,22,,33
Rwanda,,3,,,3
San Marino,,1,,,1
Saudi Arabia,1,6,9,,16
Serbia,,1,3,,4
Singapore,2,3,6,,11
South Africa,1,1,1,,3
Spain,1,3,,,4
Sri Lanka (Ceylon),,3,3,,6
Suriname,,1,,,1
Syria,,,1,,1
Taiwan,8,9,40,,57
Thailand,2,15,13,,30
Trinidad & Tobago,,2,,,2
Tunisia,2,,1,,3
Turkey,11,15,38,,64
Turkmenistan,1,1,,,2
Uganda,1,1,2,,4
Ukraine,,5,,,5
United Arab Emirates,1,1,,,2
United Kingdom,3,2,3,,8
United States,"13,103","1,918","1,150",136,"16,307"
Uruguay,,,3,,3
Uzbekistan,,,1,,1
Venezuela,5,25,13,,43
Viet Nam Socialist Republic,1,1,5,,7
YUGOSLAVIA (OLD),1,1,2,,4
Zambia,,1,1,,2
Zimbabwe (Rhodesia),,1,3,,4
