Top 10,,,,,,,,,
Summer 2003  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16307,,,,87.6%,,
"China, People's Rep of",,,491,,,,2.6%,,
India,,,458,,,,2.5%,,
"Korea, Republic of",,,360,,,,1.9%,,
Mexico,,,78,,,,0.4%,,
Turkey,,,64,,,,0.3%,,
Indonesia,,,60,,,,0.3%,,
Taiwan,,,57,,,,0.3%,,
Venezuela,,,43,,,,0.2%,,
Colombia,,,38,,,,0.2%,,
State,Students  % Total,,,,,,,,
Texas,15128,,,81.2%,,,,,
Louisiana,137,,,0.7%,,,,,
California,121,,,0.6%,,,,,
New Mexico,52,,,0.3%,,,,,
Illinois,50,,,0.3%,,,,,
Florida,48,,,0.3%,,,,,
Arkansas,47,,,0.3%,,,,,
New York,42,,,0.2%,,,,,
Oklahoma,40,,,0.2%,,,,,
Colorado,39,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2676,,,14.4%,,,,
Brazos,,1463,,,7.9%,,,,
Dallas,,852,,,4.6%,,,,
Bexar,,781,,,4.2%,,,,
Tarrant,,756,,,4.1%,,,,
Fort Bend,,485,,,2.6%,,,,
Montgomery,,438,,,2.4%,,,,
Collin,,382,,,2.1%,,,,
Travis,,378,,,2.0%,,,,
Brazoria,,251,,,1.3%,,,,
