Country,Undergraduate,Masters,PhD,Professional,Total Students
Guatemala,15,2,2,,19
Honduras,10,2,2,,14
Hong Kong,6,2,6,,14
India,20,330,108,,458
Indonesia,30,15,15,,60
Iran,2,12,8,,22
Iraq,,,1,,1
Israel,1,2,1,,4
Italy,1,4,3,,8
Jamaica,1,,2,,3
Japan,2,10,7,,19
Jordan,,2,13,,15
Kazakhstan,2,3,1,,6
Kenya,2,1,1,,4
"Korea, Republic of",17,76,267,,360
Kuwait,,4,1,,5
Lebanon,1,,5,,6
Madagascar,,1,,,1
Malawi (Central Africa),,1,1,,2
Malaysia,4,3,5,,12
Mali,,,1,,1
Mauritius,,,1,,1
Mexico,10,18,50,,78
Moldova,,,1,,1
Morocco,,2,1,,3
Mozambique,,1,,,1
Nepal,1,1,,,2
Netherlands,,2,,,2
Nicaragua,7,1,,,8
Niger,,1,,,1
Nigeria,13,12,7,,32
Norway,,1,,,1
Oman,1,1,,,2
Pakistan,5,7,3,,15
Panama,6,,,,6
Paraguay,1,,1,,2
Peru,,8,5,,13
