Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity White,,,,,,,,,,,,,,,
"Summer 2003
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
1
7
5
29
6
7
2
9
4
4
78
2
1
2
1
6
2
1
10
2
3
5
2
1
1
14
1
5
5
52
11
4
4
2
21","Sophomore
11
11
13
7
17
37
27
23
4
26
5
10
191
3
9
4
16
2
10
23
15
14
24
5
5
1
40
1
65
9
214
33
8
7
5
53","Junior
29
16
37
6
48
87
82
75
13
89
24
17
523
11
19
6
36
14
37
104
96
78
85
47
5
12
149
9
199
41
876
90
16
21
5
132","Senior
37
39
77
123
131
132
194
26
126
16
4
905
17
42
20
79
23
52
119
135
117
95
102
13
17
158
11
208
60
1,110
130
21
53
6
210","PB
1
2
3
2
8
1
1
1
1
2
2
2","Total
81
67
135
18
217
263
251
294
43
252
49
35
1,705
34
1
72
31
138
41
100
256
248
213
209
156
24
31
361
22
478
115
2,254
266
49
85
18
418",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,8,8,5,5,,,94,
,,,,,,,,11,11,4,4,,,82,
,,,,,,,,4,5,8,8,,,148,
,,,,,,,,,,9,9,,,27,
,,,,,,,7,29,36,11,11,,,264,
,,,,,,,2,51,53,6,6,,,322,
,,,,,,,1,16,17,9,9,,,277,
,,,,,,,,13,13,,,,,307,
,,,,,,,1,3,4,5,5,,,52,
,,,,,,,,44,44,8,8,,,304,
,,,,,,,,10,10,4,4,,,63,
,,,,,,,1,6,7,1,1,,,43,
,,,,,,,13,195,208,70,70,,,"1,983",
,,,,,,,6,41,47,,,,,47,
,,,,,,,6,41,47,,,,,47,
,,,,,,,4,19,23,6,6,,,63,
,,,,,,,1,,1,,,,,2,
,,,,,,,,4,4,6,6,,,82,
,,,,,,,2,19,21,6,6,,,58,
,,,,,,,,24,24,10,10,,,34,
,,,,,,,7,66,73,28,28,,,239,
,,,,,,,,15,15,8,8,,,64,
,,,,,,,,,,,,,,100,
,,,,,,,1,6,7,15,15,,,278,
,,,,,,,,4,4,5,5,,,257,
,,,,,,,,8,8,12,12,,,233,
,,,,,,,1,5,6,12,12,,,227,
,,,,,,,,4,4,,,,,160,
,,,,,,,,1,1,,,,,25,
,,,,,,,,6,6,,,,,37,
,,,,,,,,7,7,28,28,,,396,
,,,,,,,,,,,,,,22,
,,,,,,,,12,12,32,32,,,522,
,,,,,,,,9,9,11,11,,,135,
,,,,,,,2,77,79,123,123,,,"2,456",
,,,,,,,,11,11,18,18,,,295,
,,,,,,,,38,38,50,50,,,137,
,,,,,,,14,29,43,7,7,,,135,
,,,,,,,50,6,56,10,10,,,84,
,,,,,,,,4,4,6,6,,,10,
,,,,,,,64,88,152,91,91,,,661,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
