Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,
"Summer 2003
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations      COFD INEN SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
85
2
102
86
60
335
78
132
322
353
283
266
184
45
45
481
28
648
184
3049
425
276
218
177
49
1145
710
29
5
3
43
31
821
521
521
16
18
1
11
16
62
18624",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,24,39,1,1,,2,,,,,5,10,1,2,31,54,,
,1,1,,,,,,,,,,,,,1,1,,
,37,45,1,1,5,6,,,,,1,5,1,,45,57,,
,23,35,,,4,,2,1,,1,6,11,2,1,37,49,,
,15,19,,,1,,,1,,,11,13,,,27,33,,
,100,139,2,2,10,8,2,2,,1,23,39,4,3,141,194,,
,36,28,,,4,3,1,,,,2,1,1,2,44,34,,
,67,33,4,,15,8,2,1,,1,,,,1,88,44,,
,203,75,4,,20,7,1,1,3,,2,1,2,3,235,87,,
,79,178,6,3,9,26,5,10,,,11,19,1,6,111,242,,
,182,51,4,4,18,7,4,,3,,2,4,4,,217,66,,
,82,145,1,,11,17,1,1,1,2,,,2,3,98,168,,
,127,33,4,1,9,3,,2,1,,1,1,2,,144,40,,
,19,6,,,13,5,,1,,,,,,1,32,13,,
,10,27,,,2,3,,,,,,,1,2,13,32,,
,169,227,6,2,22,28,5,4,,2,3,7,2,4,207,274,,
,16,6,,,1,4,1,,,,,,,,18,10,,
,379,143,18,3,47,15,15,5,4,,4,6,6,3,473,175,,
,95,40,9,,17,8,3,2,,,5,2,3,,132,52,,
,"1,464",992,56,13,188,134,38,27,12,5,30,41,24,25,"1,812","1,237",,
,181,114,13,3,32,24,20,16,,,11,6,,5,257,168,,
,56,81,6,3,4,19,6,8,,1,31,59,2,,105,171,,
,75,60,1,2,4,5,4,5,,1,15,40,4,2,103,115,,
,31,53,,1,2,6,,2,,,6,71,1,4,40,137,,
,6,4,,,,,,,,,20,19,,,26,23,,
,349,312,20,9,42,54,30,31,,2,83,195,7,11,531,614,,
,376,208,5,4,41,22,26,9,4,1,1,,8,5,461,249,,
,12,3,,,,,1,,,,4,8,,1,17,12,,
,3,2,,,,,,,,,,,,,3,2,,
,1,1,,,,,1,,,,,,,,2,1,,
,17,12,,1,1,1,1,,,,4,5,,1,23,20,,
,7,7,1,,,,2,,,,7,6,1,,18,13,,
,416,233,6,5,42,23,31,9,4,1,16,19,9,7,524,297,,
,179,205,13,24,43,35,4,4,,,3,5,,6,242,279,,
,179,205,13,24,43,35,4,4,,,3,5,,6,242,279,,
,2,3,,,1,,,,,,6,4,,,9,7,,
,5,4,1,,1,1,2,2,,,2,,,,11,7,,
,,1,,,,,,,,,,,,,,1,,
,,,,,,,,,,,7,4,,,7,4,,
,6,5,,1,1,,1,,,,,2,,,8,8,,
,13,13,1,1,3,1,3,2,,,15,10,,,35,27,,
,"6,724","6,684",299,212,790,731,254,299,43,38,643,"1,659",113,135,"8,866","9,758",,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,
