Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Unknown/Other,,,,,,,,,,,,,,,
"Summer 2003
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
3
4
1
2
2
13","Sophomore
1
1","Junior
2
1
2
1
1
2
9
1
2
2
2
3
1
1
5
17
2
1
3","Senior
1
2
4
2
2
2
2
3
3
21
1
1
2
1
2
3
2
2
1
1
1
4
3
3
23
2
3
5",PB,"Total
2
3
4
5
8
4
3
2
7
5
43
1
1
2
1
1
4
6
4
5
2
1
1
5
8
3
41
4
3
1
8",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,3,3,,,,,8,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,6,
,,,,,,,,5,5,1,1,,,49,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,3,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,3,
,,,,,,,1,4,5,,,,,7,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,1,1,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,4,4,4,4,,,49,
,,,,,,,,1,1,,,,,5,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,1,2,3,,,,,6,
,,,,,,,4,,4,,,,,5,
,,,,,,,5,4,9,1,1,,,18,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
