Top 10,,,,,,,,,
Summer 2003  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,247,,,,96.1%,,
"Korea, Republic of",,,3,,,,1.2%,,
Taiwan,,,1,,,,0.4%,,
Panama,,,1,,,,0.4%,,
India,,,1,,,,0.4%,,
Guatemala,,,1,,,,0.4%,,
Ecuador,,,1,,,,0.4%,,
"China, People's Rep of",,,1,,,,0.4%,,
Australia,,,1,,,,0.4%,,
State,Students  % Total,,,,,,,,
Texas,242,,,94.2%,,,,,
Wyoming,1,,,0.4%,,,,,
Georgia,1,,,0.4%,,,,,
Florida,1,,,0.4%,,,,,
California,1,,,0.4%,,,,,
Arkansas,1,,,0.4%,,,,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,60,,,23.3%,,,,
Harris,,34,,,13.2%,,,,
Williamson,,9,,,3.5%,,,,
Fort Bend,,8,,,3.1%,,,,
Bexar,,7,,,2.7%,,,,
Galveston,,7,,,2.7%,,,,
McLennan,,7,,,2.7%,,,,
Montgomery,,7,,,2.7%,,,,
Dallas,,6,,,2.3%,,,,
Tarrant,,6,,,2.3%,,,,
