Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,
"Summer 2003
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH  of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
1
1
1
1
1
2
8
12
12
1
3
4
3
1
1
2
2
2
1
1
2
15","1st Time PB
2
2
1
1
2
1
1","1st Time Transfer
8
29
4
5
2
3
2
4
4
5
3
1
70
2
11
1
14
2
20
22
5
1
13
25
44
1
2
3
6
3
10
11
1
4
1
1
43
1
1
1
3","Readmitted
1
11
2
2
8
1
1
1
1
2
1
1
4
36
1
1
2
2
1
3
2
4
12
8
2
10
1
1
3
2
1
4
12
1
1","Continuing
262
621
439
117
140
184
19
22
56
88
59
62
147
39
144
2,399
212
306
22
540
449
267
301
144
200
398
1,759
52
679
718
1,449
106
103
176
34
299
344
386
371
92
311
65
49
2,336
36
1
83
34
154",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,3,2,48,1,1,31,,,355,
,,,,,,,12,,40,,,29,,,745,
,,,,,,,3,,69,,,45,,,563,
,,,,,,,2,,27,,,11,,,163,
,,,,,,,1,,34,,,80,,,258,
,,,,,,,,,,,,,,,194,
,,,,,,,3,,24,,,26,,,76,
,,,,,,,,,11,,,8,,,44,
,,,,,,,1,,22,,,25,,,106,
,,,,,,,,,6,,,22,,,117,
,,,,,,,1,,7,,,18,,,89,
,,,,,,,1,,23,,,21,,,113,
,,,,,,,1,,6,,,15,,,175,
,,,,,,,6,,47,1,,42,,,139,
,,,,,,,5,,72,1,,43,,,273,
,,,,,,1,39,,436,3,,416,,,"3,410",
,,,,,,2,18,,106,1,,22,,,364,
,,,,,,,,,31,,,,,,349,
,,,,,,,1,,42,,,19,,,85,
,,,,,,2,19,,179,1,,41,,,798,
,,,,,,,51,,31,,,19,,,554,
,,,,,,2,,,33,,,,,,335,
,,,,,,,44,,70,,,9,,,427,
,,,,,,,13,,33,,,11,,,201,
,,,,,,,1,,18,,,23,,,244,
,,,,,,,5,,28,1,,10,,,446,
,,,,,,2,114,,213,1,,72,,,"2,207",
,,,,,,,,,,,,,,,57,
,,,,,,10,11,,84,2,,263,,,374,
,,,,,,3,11,,112,1,,107,,,234,
,,,,,,1,9,,45,1,,34,,,791,
,,,,,,41,24,2,72,1,1,88,,,977,
,,,,,,55,55,4,313,5,2,492,,,"2,433",
,,,,,,,1,,33,,,34,,,178,
,,,,,,,1,,24,1,,20,,,151,
,,,,,,,1,,27,1,,68,,,278,
,,,,,,,,,3,1,,18,,,57,
,,,,,,4,7,,99,4,,86,,,508,
,,,,,,2,10,,115,3,,84,,,566,
,,,,,,1,,1,73,1,,136,,,608,
,,,,,,,,,15,,,,,,401,
,,,,,,1,4,,72,5,,38,,,214,
,,,,,,,2,,124,3,,83,,,533,
,,,,,,,2,,24,1,,26,,,120,
,,,,,,2,6,,78,,,28,,,167,
,,,,,,10,34,1,687,20,,621,,,"3,781",
,,,,,,4,,,58,,,,,,62,
,,,,,,4,,,58,,,,,,62,
,,,,,,5,1,,23,,,18,,,85,
,,,,,,,,,1,,,,,,2,
,,,,,,,,,7,,,10,,,102,
,,,,,,1,2,,30,,,18,,,86,
,,,,,,,,,33,,,27,,,60,
,,,,,,6,3,,94,,,73,,,335,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,
