Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,,1,,,1
Algeria,,,1,,1
Angola,3,4,,,7
Antigua and Barbuda,,1,,,1
Argentina,,5,7,,12
Armenia,,2,1,,3
Australia,3,1,,,4
Austria,,,2,,2
Azerbaijan,,2,,,2
"Bahamas, The",,1,,,1
Bangladesh,3,3,7,,13
Barbados,,1,,,1
Belarus,,2,6,,8
Belize (British Honduras),,1,,,1
Bolivia,1,,2,,3
Brazil,4,3,6,,13
Bulgaria,,4,6,,10
Burma (Myanmar),,1,,,1
Canada,7,7,19,,33
Chile,,1,1,,2
"China, People's Rep of",15,159,317,,491
Colombia,8,24,6,,38
Costa Rica,2,4,3,,9
Cote d'Ivoire (Ivory Coast),,1,1,,2
Denmark,1,,,,1
Dominica,,,1,,1
Dominican Republic,2,2,,,4
Ecuador,7,8,3,,18
Egypt (A.R.E.),1,3,17,,21
El Salvador,1,1,,,2
Eritrea,,,2,,2
Ethiopia,1,1,,,2
France,2,9,6,,17
Georgia (C.I.S.),,,3,,3
Germany,3,7,1,,11
Ghana,1,3,2,,6
Greece,,3,9,,12
