Headcount by Major by Level,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST ISNC KINE PHED SPSY TECR",,"77
221
1
294
107
0
515
57
223
12","-14.4%
-21.9%
-50.0%
1.7%
-13.7%
-100.0%
-4.8%
100.0%
7.2%
50.0%","6
82
139
21
25
95
6
43
6
4","500.0%
-20.4%
4.5%
-43.2%
-7.4%
-9.5%
20.0%
13.2%
50.0%
0.0%","27
155
90
111
49
11
21
3
32","-15.6%
20.2%
9.8%
-1.8%
-9.3%
22.2%
5.0%
0.0%
-13.5%",,,"33
237
229
77
221
1
294
21
136
144
17
107
0
515
57
287
9
36
12","0.0%
2.2%
6.5%
-14.4%
-21.9%
-50.0%
1.7%
-43.2%
-2.9%
-9.4%
21.4%
-13.7%
-100.0%
-4.8%
100.0%
7.9%
28.6%
-12.2%
50.0%",
,Subtotal,"1,507",-2.5%,427,-6.6%,499,4.2%,,,"2,433",-2.0%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
