Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity Black,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
6
4
12
1
1
2
2
1
1
2","Sophomore
1
6
1
10
1
2
21
1
1
2
6
6
4
1
5","Junior
1
8
5
1
4
2
1
22
1
1
4
2
3
1
1
3
14
2
4
3
9","Senior
1
17
3
2
3
1
4
1
1
1
34
2
1
3
5
2
1
3
11
2
18
9
29",PB,"Total
3
32
6
3
10
21
1
7
1
1
4
89
4
3
7
9
10
5
2
1
6
33
4
27
14
45",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,4,
,,,,,,,,3,3,,,,,36,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,1,1,,,11,
,,,,,,,,,,,,,,21,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,,6,6,3,3,,,98,
,,,,,,,,,1,,,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,1,2,,,,,9,
,,,,,,,,1,1,1,1,,,11,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,6,
,,,,,,,,2,2,2,2,,,37,
,,,,,,,,,,,,,,4,
,,,,,,,2,8,10,29,29,,,39,
,,,,,,,3,5,8,5,5,,,13,
,,,,,,,1,1,2,1,1,,,30,
,,,,,,,6,4,10,20,20,,,44,
,,,,,,,12,18,30,55,55,,,130,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,
