Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,1,1,,,2
Algeria,,1,1,,2
Angola,4,4,,,8
Argentina,4,6,8,,18
Armenia,,4,1,,5
Australia,1,3,,,4
Austria,2,2,,,4
Azerbaijan,,7,,,7
"Bahamas, The",,1,,,1
Bangladesh,6,14,8,,28
Belarus,,4,4,,8
Belize (British Honduras),,1,,,1
Bolivia,5,2,2,,9
Botswana,,,1,,1
Brazil,7,4,8,,19
Bulgaria,,7,5,,12
Cameroon,2,,,,2
Canada,12,11,19,,42
Chile,,2,1,,3
"China, People's Rep of",12,251,325,,588
Colombia,12,23,9,,44
Costa Rica,14,2,5,,21
Cote d'Ivoire (Ivory Coast),,1,2,,3
Croatia,3,1,,,4
Cyprus,1,,,,1
Denmark,1,,1,,2
Dominican Republic,2,,1,,3
Ecuador,17,13,2,,32
Egypt (A.R.E.),1,2,24,,27
El Salvador,4,1,,,5
Eritrea,,,1,,1
Ethiopia,1,,,,1
Finland,,1,,,1
France,7,15,10,,32
Georgia (C.I.S.),,1,3,,4
Germany,4,13,4,,21
Ghana,2,2,3,,7
