Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,
Spring 2002,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re-Admi tted,Contin uing,1st Time Graduate,Re-Admi tted,Contin uing,1st Time Graduate,Re-Admi tted,Contin uing,Continuing,,
Architecture,ARCH,1,1,20,1,282,4,3,130,1,1,45,,181,
,COMG,,,,,,8,,52,,,,,63,
,COSC,,,,,,,,,,,,,283,
,COSL,,,,,247,,,,,,,,268,
,ENDL,1,,12,2,281,,,,,,,,296,
,ENDS,,,,2,342,,,,,,,,344,
,LAND,,,,1,64,,1,22,,,1,,89,
,LANL,,,8,,64,,,,,,,,72,
,LDEV,,,,,,1,,20,,,,,21,
,URPL,,,,,,3,,10,,,,,13,
,URSC,,,,,,,,,1,,46,,47,
,VIZA,,,,,,,,61,,,,,61,
,Subtotal,2,,40,6,1280,16,4,295,2,1,92,,1738,
Business Admin,ACCT,,,,1,546,5,,112,,,14,,678,
,AGBU,,,,,9,,,,,,,,9,
,BUAD,5,,,4,1761,,,314,,,,,2084,
,FINC,,,,1,547,8,,116,1,,8,,681,
,INFO,,,,,510,,,,1,,13,,524,
,MGMT,,,,2,352,1,,22,,,24,,401,
,MISY,,,,,,5,,86,,,,,91,
,MKTG,,,,3,774,1,,38,,,10,,826,
,MLER,,,,,,8,,20,,,,,28,
,Subtotal,5,,,11,4499,28,,708,2,,69,,5322,
Education,CPSY,,,,,,,,2,,,37,,39,
,EDAD,,,,,,4,1,134,6,2,156,,303,
,EDCI,,,,,,6,,106,1,,99,,212,
,EDHL,1,,5,1,182,,,,,,,,190,
,EDIS,3,2,82,7,864,,,,,,,,958,
,EDIT,,,,,4,,,,,,,,4,
,EDKI,,,41,5,678,,,,,,,,724,
,EDTC,,,,,,3,1,35,,,,,39,
,EHRD,,,,,,,1,44,5,2,125,,177,
,EPSY,,,,,,7,,128,1,,83,,219,
,HEED,,,,,,2,,5,,,13,,20,
,HLTH,,,,2,147,,,,,,,,149,
,IDTC,,,,,1,,,,,,,,1,
,INST,,,,4,700,,,,,,,,704,
,KINE,,1,,4,256,5,1,40,2,,20,,329,
,PHED,,,,,,1,,7,,,6,,14,
,SPSY,,,,,,,,4,,,47,,51,
,TECR,,2,,,24,,,,,,,,26,
,Subtotal,4,6,128,23,2856,28,4,505,15,4,586,,4159,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,
