Headcount by Major by Level,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education                CPSY
EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY TECR",,"190
958
4
724
149
1
704
261
26","-21.2%
-1.3%
-20.0%
16.6%
24.2%
0.0%
28.2%
-0.4%
-38.1%","2
139
112
39
45
135
7
46
8
4","0.0%
29.9%
0.0%
0.0%
-23.7%
29.8%
75.0%
24.3%
-11.1%
0.0%","37
164
100
132
84
13
22
6
47","-19.6%
-15.9%
9.9%
3.9%
15.1%
30.0%
15.8%
-14.3%
9.3%",,,"39
303
212
190
958
4
724
39
177
219
20
149
1
704
329
14
51
26","-18.8%
0.3%
4.4%
-21.2%
-1.3%
-20.0%
16.6%
0.0%
-4.8%
23.7%
42.9%
24.2%
0.0%
28.2%
3.5%
-12.5%
8.5%
-38.1%",
,Subtotal,3017,7.3%,537,12.6%,605,-1.0%,,,4159,6.6%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
