Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,
"Spring 2002
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
837
1163
1117
358
486
188
91
66
189
186
169
181
385
253
577
6246
882
614
242
1738
678
2093
709
615
401
826
5322
1
486
346
1427
1899
4159
534
279
588
211
1266
1085
1364
1215
497
1250
208
346
8843",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,287,415,2,5,8,23,2,2,1,2,20,55,8,7,328,509,,
,497,527,17,34,22,32,3,4,3,2,2,7,4,9,548,615,,
,636,322,9,3,61,13,7,6,5,1,24,18,8,4,750,367,,
,46,261,4,,10,14,1,2,,,6,11,,3,67,291,,
,186,144,14,3,27,18,16,17,1,1,20,30,4,5,268,218,,
,61,71,6,13,13,14,2,1,,3,,2,1,1,83,105,,
,24,37,2,,4,4,4,3,,,9,4,,,43,48,,
,6,45,,,,1,,1,,1,2,8,1,1,9,57,,
,91,64,,1,3,4,,1,1,2,4,16,1,1,100,89,,
,63,52,6,7,14,10,2,4,,2,10,11,2,3,97,89,,
,44,91,,1,4,11,2,1,,1,8,6,,,58,111,,
,42,105,1,,6,3,1,2,,1,5,14,,1,55,126,,
,165,159,,4,7,15,,1,,3,14,12,3,2,189,196,,
,28,154,,3,2,2,,,,2,18,38,,6,48,205,,
,210,289,2,,15,19,4,5,,3,8,10,6,6,245,332,,
,2386,2736,63,74,196,183,44,50,11,24,150,242,38,49,2888,3358,,
,296,323,5,8,28,37,16,16,1,5,54,74,8,11,408,474,,
,49,453,,4,11,39,3,1,,3,14,32,,5,77,537,,
,64,110,3,,5,2,3,2,,1,22,24,2,4,99,143,,
,409,886,8,12,44,78,22,19,1,9,90,130,10,20,584,1154,,
,345,242,9,1,23,12,8,6,1,1,14,6,4,6,404,274,,
,891,827,33,23,74,62,39,34,3,7,19,51,14,16,1073,1020,,
,241,354,2,2,21,22,7,10,,,22,17,2,9,295,414,,
,182,288,12,3,17,18,18,17,,,25,24,3,8,257,358,,
,148,172,5,2,13,14,7,2,1,2,12,16,5,2,191,210,,
,480,237,10,2,36,18,7,4,2,1,7,11,7,4,549,277,,
,2287,2120,71,33,184,146,86,73,7,11,99,125,35,45,2769,2553,,
,1,,,,,,,,,,,,,,1,,,
,206,150,18,15,40,23,2,,2,1,18,6,2,3,288,198,,
,190,55,11,1,49,7,1,,2,,21,4,4,1,278,68,,
,774,456,25,10,66,50,8,6,4,2,2,8,7,9,886,541,,
,1580,79,49,9,104,15,12,2,13,,16,2,17,1,1791,108,,
,2751,740,103,35,259,95,23,8,21,3,57,20,30,14,3244,915,,
,67,307,5,1,16,33,4,7,2,2,8,72,1,9,103,431,,
,81,88,6,4,13,10,12,16,,1,15,30,1,2,128,151,,
,115,256,8,5,20,26,21,19,,,25,82,6,5,195,393,,
,28,78,12,7,22,42,5,4,,1,2,8,,2,69,142,,
,105,688,11,11,15,58,24,84,,2,73,180,3,12,231,1035,,
,148,575,7,14,30,78,6,19,,2,32,160,4,10,227,858,,
,61,695,16,23,14,85,26,112,,7,38,274,2,11,157,1207,,
,128,815,23,26,23,111,5,46,,7,5,13,5,8,189,1026,,
,67,117,11,6,11,25,11,10,,2,29,200,6,2,135,362,,
,113,740,3,10,9,64,6,25,,1,7,258,1,13,139,1111,,
,33,95,2,3,6,14,4,3,,1,12,30,1,4,58,150,,
,38,137,2,1,6,15,1,5,,,18,118,2,3,67,279,,
,984,4591,106,111,185,561,125,350,2,26,264,1425,32,81,1698,7145,,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,,,,
