Country,Undergraduate,Masters,PhD,Professional,Total Students
Greece,,3,10,,13
Guatemala,30,4,1,,35
Honduras,16,2,3,,21
Hong Kong,7,3,6,,16
Hungary,,1,1,,2
Iceland,,1,2,,3
India,33,567,73,,673
Indonesia,43,28,17,,88
Iran,1,7,14,,22
Iraq,,,1,,1
Israel,1,2,1,,4
Italy,2,2,2,,6
Jamaica,1,,1,,2
Japan,5,9,10,,24
Jordan,2,3,9,,14
Kazakhstan,1,7,2,,10
Kenya,2,,2,,4
"Korea, Republic of",18,188,390,,596
Kuwait,2,4,2,,8
Lebanon,,6,4,,10
Malawi (Central Africa),,1,1,,2
Malaysia,,2,5,,7
Mauritius,,,1,,1
Mexico,22,58,64,,144
Morocco,,1,3,,4
Nepal,1,,,,1
Netherlands,,2,2,,4
Nicaragua,10,1,2,,13
Nigeria,9,13,4,,26
Norway,3,2,1,,6
Oman,2,3,,,5
Other Foreign or US,4,8,2,,14
Pakistan,4,13,3,,20
Panama,19,4,,,23
Paraguay,1,2,,,3
Peru,1,9,5,,15
Philippines,,2,5,,7
