Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,396,-0.3%,164,-9.4%,113,1.8%,,,673,-2.3%,
Gender,Female,182,7.1%,62,-10.1%,36,50.0%,,,280,6.5%,
,Male,214,-5.7%,102,-8.9%,77,-11.5%,,,393,-7.7%,
Ethnicity,White,348,0.9%,111,-8.3%,45,-2.2%,,,504,-1.6%,
,Black,7,75.0%,,,,,,,7,75.0%,
,Hispanic,27,-6.9%,6,50.0%,1,0.0%,,,34,0.0%,
,Asian,4,0.0%,3,0.0%,2,100.0%,,,9,12.5%,
,American Indian,2,-33.3%,1,0.0%,,,,,3,-25.0%,
,International,3,-50.0%,39,-18.8%,65,4.8%,,,107,-7.8%,
,Unknown/Other,5,-16.7%,4,0.0%,0,-100.0%,,,9,-18.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,168,0.6%,1,100.0%,,,,,169,1.2%,
,22-25,175,-4.9%,52,-20.0%,2,-50.0%,,,229,-9.5%,
,26-30,33,6.5%,68,-17.1%,26,-13.3%,,,127,-11.2%,
,31-39,14,27.3%,34,21.4%,66,6.5%,,,114,12.9%,
,40+,6,50.0%,9,50.0%,19,26.7%,,,34,36.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,0.0%,,,,,,,1,0.0%,
,1st Time Graduate,,,14,250.0%,6,20.0%,,,20,122.2%,
,1st Time Transfer,11,22.2%,,,,,,,11,22.2%,
,Re-Admitted,6,0.0%,2,100.0%,1,100.0%,,,9,50.0%,
,Continuing,378,-0.8%,148,-16.4%,106,0.0%,,,632,-4.8%,
Tuition,Resident Tuition,366,1.4%,61,1.7%,19,18.8%,,,446,2.1%,
Status,Non-Resident Tuition,15,-28.6%,22,-24.1%,23,-8.0%,,,60,-20.0%,
,Tuition Exemption/Waiver,15,0.0%,81,-12.0%,71,1.4%,,,167,-5.6%,
Residency,Texas Resident,371,2.5%,61,1.7%,20,25.0%,,,452,3.2%,
Status,"Non-TX, US Resident",22,-24.1%,64,-12.3%,27,-18.2%,,,113,-16.3%,
,"Non-TX, Non-US Resident",3,-50.0%,39,-18.8%,66,6.5%,,,108,-6.9%,
SCH,< 6 SCH,5,66.7%,27,-20.6%,25,8.7%,,,57,-5.0%,
Categories,6-8 SCH,7,-36.4%,7,133.3%,3,50.0%,,,17,6.3%,
,9-11 SCH,21,23.5%,100,-5.7%,84,0.0%,,,205,-1.0%,
,12-14 SCH,220,-2.2%,24,-20.0%,1,-50.0%,,,245,-4.7%,
,15-17 SCH,131,0.0%,5,66.7%,,,,,136,1.5%,
,>17 SCH,12,20.0%,1,-80.0%,,,,,13,-13.3%,
Ft/Pt:,Less Than Half Time,5,66.7%,19,-38.7%,24,9.1%,,,48,-14.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","7
20","-36.4%
17.6%",15,150.0%,4,33.3%,,,"26
20","30.0%
17.6%",
,Full-Time,364,-0.5%,130,-9.7%,85,-1.2%,,,579,-2.9%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
