Country,Undergraduate,Masters,PhD,Professional,Total Students
Poland,,1,,,1
Portugal,1,2,5,,8
Qatar,,1,,,1
Romania,1,8,10,,19
Russia,6,15,21,,42
Saudi Arabia,3,9,11,,23
Serbia,,2,4,,6
Singapore,6,5,6,,17
South Africa,1,2,1,,4
Spain,7,3,1,,11
Sri Lanka (Ceylon),1,5,2,,8
Suriname,1,1,,,2
Sweden,3,1,,,4
Switzerland,5,,,,5
Syria,,1,1,,2
Taiwan,9,19,60,,88
Thailand,2,23,31,,56
Trinidad & Tobago,,2,1,,3
Tunisia,1,1,1,,3
Turkey,8,35,39,,82
Turkmenistan,,1,,,1
Uganda,,,2,,2
Ukraine,,3,,,3
United Arab Emirates,6,2,,,8
United Kingdom,9,7,6,,22
United States,"33,734","2,734","1,586",490,"38,544"
Uruguay,,,5,,5
Uzbekistan,,10,1,,11
Venezuela,12,32,11,,55
"Viet Nam, (South)",3,1,4,,8
Yemen,,1,,,1
Zambia,,1,1,,2
Zimbabwe (Rhodesia),,,1,,1
