Spring 2000,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,TX Resident,4909,,17,,18,,4944,,
,"Non-TX, US Resident",43,,140,,306,,489,,
,"Non-TX, Non-US Resident",,,156,,200,,356,,
,Sub-Total,4952,,313,,524,,5789,,
Architecture,TX Resident,1454,,2,,7,,1463,,
,"Non-TX, US Resident",16,,42,,59,,117,,
,"Non-TX, Non-US Resident",,,68,,59,,127,,
,Sub-Total,1470,,112,,125,,1707,,
Business Admin,TX Resident,5771,,11,,14,,5796,,
,"Non-TX, US Resident",34,,94,,136,,264,,
,"Non-TX, Non-US Resident",,,107,,114,,221,,
,Sub-Total,5805,,212,,264,,6281,,
Education,TX Resident,3434,,3,,11,,3448,,
,"Non-TX, US Resident",34,,55,,81,,170,,
,"Non-TX, Non-US Resident",,,29,,29,,58,,
,Sub-Total,3468,,87,,121,,3676,,
Engineering,TX Resident,6768,,13,,36,,6817,,
,"Non-TX, US Resident",67,,178,,356,,601,,
,"Non-TX, Non-US Resident",,,546,,954,,1500,,
,Sub-Total,6835,,737,,1346,,8918,,
Geosciences,TX Resident,440,,2,,3,,445,,
,"Non-TX, US Resident",3,,26,,100,,129,,
,"Non-TX, Non-US Resident",,,32,,68,,100,,
,Sub-Total,443,,60,,171,,674,,
Liberal Arts,TX Resident,5324,,11,,19,,5354,,
,"Non-TX, US Resident",51,,167,,272,,490,,
,"Non-TX, Non-US Resident",,,70,,91,,161,,
,Sub-Total,5375,,248,,382,,6005,,
Science,TX Resident,1608,,7,,6,,1621,,
,"Non-TX, US Resident",17,,64,,189,,270,,
,"Non-TX, Non-US Resident",,,40,,245,,285,,
,Sub-Total,1625,,111,,440,,2176,,
Veterinary,TX Resident,2408,,3,,3,,2414,,
Medicine,"Non-TX, US Resident",21,,36,,84,,141,,
,"Non-TX, Non-US Resident",,,16,,24,,40,,
,Sub-Total,2429,,55,,111,,2595,,
Distance Education,TX Resident,4,,,,,,4,,
,Sub-Total,4,,,,,,4,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,
