Top 10,,,,,,,,
Spring 2000  Feeder Patterns New Graduate,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Brazos,,48,,,11.6%,,,
Harris,,24,,,5.8%,,,
Bexar,,10,,,2.4%,,,
Brazoria,,7,,,1.7%,,,
Tarrant,,6,,,1.4%,,,
Collin,,5,,,1.2%,,,
Dallas,,5,,,1.2%,,,
Travis,,5,,,1.2%,,,
Jefferson,,4,,,1.0%,,,
Grimes,,4,,,1.0%,,,
State,Students  % Total,,,,,,,
Texas,183,,,44.2%,,,,
California,4,,,1.0%,,,,
Louisiana,4,,,1.0%,,,,
Oklahoma,3,,,0.7%,,,,
New York,3,,,0.7%,,,,
Mississippi,2,,,0.5%,,,,
Florida,1,,,0.2%,,,,
Pennsylvania,1,,,0.2%,,,,
Tennessee,1,,,0.2%,,,,
Michigan,1,,,0.2%,,,,
Country,,,Students  % Total,,,,,
United States,,,214,,,51.7%,,
India,,,46,,,11.1%,,
"China, People's Rep of",,,28,,,6.8%,,
"Korea, Republic of",,,26,,,6.3%,,
Bangladesh,,,12,,,2.9%,,
Thailand,,,9,,,2.2%,,
Indonesia,,,8,,,1.9%,,
Uzbekistan,,,6,,,1.4%,,
Pakistan,,,5,,,1.2%,,
Turkey,,,5,,,1.2%,,
