Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
"Agriculture              ADEV AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BESC BICH BSEN DASC ENTO FISC FLOR FORS FSTC GENE HORT NRDV NUSC NUTR PLBR PLPA POSC PPHY PREP PSSC RENR RLEM RPTS RRDV RSOC SOSC TOXI WFSC
WISC",,"288
117
105
210
16
102
9
70
106
36
129
311
65
93
6
8
47
2
35
25
74
50
1
12
12
8
11
75
3
6
6
18
82
111
2
21
1
243
2","257
99
81
78
26
28
37
59
14
42
10
1
411
55
89
7
5
33
5
8
51
128
88
5
166
37
1
5
38
4
12
1
6
23
125
2
1
9
182
3","24
2
7
1
1
3
10
1
4
3
1
1
1
1
2","9
1
1
5
1
2
1
5
2
2
11
1
4
3
2
2
1","23
8
8
18
2
7
2
7
5
3
7
10
5
13
1
4
2
4
4
1
5
2
13
1
4
7
17","13
5
3
4
1
6
4
9
1
21
8
10
1
1
2
12
15
6
14
4
1
1
1
1
2
10
17","2
1
2
5
1
1
1
16
1
3
3
2
1
2
4
2","3
2
1
3
8
1
2
5
3
1
7
1
1
1
5","1
1
1
1
1
2
1
1
1
1
2","1
1
3
1
1","1
6
5
36
2
14
9
3
10
17
3
4
1
8
13
12
6
1
9
9
4
12
4
9
7
5
16","3
11
1
4
1
2
5
9
2
6
1
16
6
1
3
8
3
9
2
6
2
1
3
8
1
2
12","3
2
3
3
2
1
5
4
2
7
1
3
6
1
1
1
2
1
4","2
3
2
1
1
1
1
1
8
1
4
1
3
5
4
2
1
1
2
2
5","342
134
124
276
21
126
15
94
126
39
140
339
78
149
11
9
58
2
1
48
46
99
60
1
19
13
17
22
96
15
11
6
18
96
134
2
27
1
284
2","281
109
90
102
29
41
44
76
17
44
10
1
451
69
131
12
6
44
5
9
92
161
100
5
194
50
5
14
44
11
14
3
8
31
145
4
1
11
221
3","623
243
214
378
50
167
59
170
143
83
150
1
790
147
280
23
15
102
2
6
57
138
260
160
6
213
63
22
36
140
26
25
9
26
127
279
6
1
38
1
505
5",
,Sub-Total,2518,2232,62,53,183,173,47,44,13,7,226,128,52,51,3101,2688,5789,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
