"Spring 2000
Agriculture Architecture Business Admin Education Engineering Geosciences Liberal Arts Science
Veterinary Medicine Distance Education General Studies
G. Bush School of Govt
GRAND Total",International,,Black,,Am. Indian,,,,Asian,,Hispanic,,White,,Other,,Total,,"Total
5789
1707
6281
3676
8918
674
6005
2176
2595
4
2759
42
40626",
,M,F,M,F,M,,F,,M,F,M,F,M,F,M,F,M,F,,
,226,128,62,53,,13,,7,47,44,183,173,2518,2232,52,51,3101,2688,,
,83,41,12,11,,4,,1,20,16,112,52,923,397,24,11,1178,529,,
,134,84,44,82,,18,,8,87,79,222,236,2655,2554,40,38,3200,3081,,
,16,41,41,102,,3,,18,9,24,100,233,695,2360,14,20,878,2798,,
,1234,252,113,114,,32,,7,378,125,544,184,4804,1025,78,28,7183,1735,,
,70,29,2,4,,1,,2,4,3,21,17,303,210,3,5,404,270,,
,101,57,61,112,,11,,18,53,72,260,369,1828,2959,43,61,2357,3648,,
,193,91,25,38,,1,,2,60,58,96,111,679,782,19,21,1073,1103,,
,18,21,19,51,,4,,12,38,71,74,154,727,1376,12,18,892,1703,,
,,,,1,,,,,,,,,3,,,,3,1,,
,8,4,57,49,,5,,8,39,38,144,120,1123,1132,19,13,1395,1364,,
,,2,2,3,,,,,1,1,3,1,14,15,,,20,22,,
,2083,750,438,620,,92,,83,736,531,1759,1650,16272,15042,304,266,21684,18942,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,,,
