Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Male,White,14143,,1165,,810,,154,,16272,,
,Black,384,,26,,28,,,,438,,
,Hispanic,1602,,92,,63,,2,,1759,,
,Asian,656,,46,,30,,4,,736,,
,American Indian,84,,3,,4,,1,,92,,
,International,362,,854,,867,,,,2083,,
,Unknown/Other,263,,22,,18,,1,,304,,
,Sub-Total,17494,,2208,,1820,,162,,21684,,
Female,White,13207,,930,,611,,294,,15042,,
,Black,504,,62,,54,,,,620,,
,Hispanic,1460,,84,,87,,19,,1650,,
,Asian,454,,44,,19,,14,,531,,
,American Indian,74,,4,,2,,3,,83,,
,International,151,,353,,246,,,,750,,
,Unknown/Other,242,,16,,7,,1,,266,,
,Sub-Total,16092,,1493,,1026,,331,,18942,,
GRAND Total,,33586,,3701,,2846,,493,,40626,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
