Spring 2000,,Undergraduate,,,,Masters,,PhD,,Professional,Total,
,,1st Time in College,1st Time Transfer,Re Admitted,Continuing,1st Time Graduate,Continuing,1st Time Graduate,Continuing,Continuing,,
Geosciences,ATMO,1,1,2,13,4,36,1,15,,55,
,ESCI,,,,,,,,,,13,
,GEOG,,,,140,1,21,,20,,186,
,GEOL,,5,1,86,3,47,1,24,,167,
,GEOP,,1,,17,,13,1,22,,54,
,GEOS,,,,,,3,,,,3,
,METR,,5,,114,,,,,,120,
,OCNG,,,,,1,40,,35,,76,
,Sub-Total,1,12,3,370,9,160,3,116,,674,
Liberal Arts,ANTH,,4,2,88,2,84,,35,,215,
,ECOL,,1,,,,,,,,1,
,ECON,3,23,5,363,,21,,61,,476,
,ENGL,3,17,8,526,4,34,2,84,,678,
,ENLL,,1,,,,,,,,1,
,FREN,,,,13,,,,,,13,
,GERM,,2,,10,,,,,,12,
,HIST,3,24,10,405,,27,,46,,515,
,INTL,1,1,,,,,,,,2,
,INTS,2,7,3,213,,,,,,225,
,JOUL,1,1,,17,,,,,,19,
,JOUR,,17,4,692,,,,,,713,
,MODL,,,,4,1,14,,,,19,
,PHIL,1,3,3,55,1,26,,,,89,
,POLL,1,,,,,,,,,1,
,POLS,2,21,1,710,,10,1,39,,784,
,PSYC,5,40,6,1114,,38,1,51,,1255,
,PSYL,,2,,,,,,,,2,
,RUSS,,1,,8,,,,,,9,
,SCOL,,1,,,,,,,,1,
,SCOM,2,8,9,504,3,14,,13,,553,
,SOCI,,5,9,203,5,23,2,33,,280,
,SOCL,,1,,,,,,,,1,
,SPAN,,2,2,63,,,,,,67,
,STJR,,,,,1,17,,,,18,
,THAR,,,,56,,,,,,56,
,Sub-Total,24,182,62,5044,17,308,6,362,,6005,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
