Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering             AERL AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE LCEM MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN
SENG",,"126
193
96
114
172
174
105
87
174
304
6
292
284
168
499
200
302
3
2
285
132
2
191
359
8
41
147
16
1
339
632
28
49
12
40
127
51
49
2
7
10",,"2
3
8
5
15
5
4
4
10
12
1
6
13
5
10
10
16
31
4
4
15
7
11
8
4
5
1
2
5
1",,"16
28
15
17
13
10
16
11
23
33
1
27
21
28
57
27
34
1
1
57
21
1
21
41
1
7
33
1
34
67
1
5
2
9
12
9
24
2
1",,"6
13
12
22
25
32
20
28
10
43
2
35
36
4
16
23
66
1
26
8
3
9
11
10
23
3
1
6
3
5
1",,"1
1
2
2
2
2
1
2
2
3
5
2
1
1
1
4
1
1
1
1
3",,"1
57
22
10
12
6
6
3
93
59
179
14
4
158
14
321
15
3
1
2
4
15
138
8
1
5
174
2
26
1
29
101
1
1",,"6
6
2
7
4
1
4
9
6
2
3
4
4
6
6
4
3
4
1
4
6
10
2
1
1",,"158
301
133
180
242
237
153
137
226
496
69
545
372
213
746
280
748
5
3
425
174
4
225
433
9
72
344
25
2
406
911
33
89
16
81
250
67
83
2
10
13",,
,SubTotal,5829,,227,,728,,503,,39,,1486,,106,,8918,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
