Spring 2000,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,AERL,158,,40,,37,,,,158,,
,AERO,224,,,,,,,,301,,
,BMEL,133,,,,,,,,133,,
,BMEN,148,,19,,13,,,,180,,
,CECL,242,,,,,,,,242,,
,CECN,237,,,,,,,,237,,
,CEEL,153,,,,,,,,153,,
,CEEN,137,,,,,,,,137,,
,CHEL,226,,,,,,,,226,,
,CHEN,397,,36,,63,,,,496,,
,CPEN,,,56,,13,,,,69,,
,CPSC,312,,150,,83,,,,545,,
,CPSL,372,,,,,,,,372,,
,CVEL,213,,,,,,,,213,,
,CVEN,500,,149,,97,,,,746,,
,ELEL,280,,,,,,,,280,,
,ELEN,403,,179,,166,,,,748,,
,ENGR,,,,,5,,,,5,,
,ENSM,,,3,,,,,,3,,
,ENTC,425,,,,,,,,425,,
,ENTL,174,,,,,,,,174,,
,HLPH,,,4,,,,,,4,,
,IDIL,225,,,,,,,,225,,
,IDIS,433,,,,,,,,433,,
,IHYG,,,9,,,,,,9,,
,INEL,72,,,,,,,,72,,
,INEN,203,,94,,47,,,,344,,
,ITDE,,,2,,23,,,,25,,
,LCEM,,,2,,,,,,2,,
,MEEL,406,,,,,,,,406,,
,MEEN,676,,159,,76,,,,911,,
,NUEL,33,,,,,,,,33,,
,NUEN,39,,29,,21,,,,89,,
,OCEL,16,,,,,,,,16,,
,OCEN,40,,23,,18,,,,81,,
,PETE,131,,87,,32,,,,250,,
,PETL,67,,,,,,,,67,,
,PREN,83,,,,,,,,83,,
,RHEL,2,,,,,,,,2,,
,RHEN,10,,,,,,,,10,,
,SENG,,,13,,,,,,13,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,
