Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ATMO,33,8,1,1,1,1,1,2,1,2,9,5,1,1,42,13,55,
,ESCI,4,7,,,,,,,,,,,,,5,8,13,
,GEOG,88,70,,,10,4,,,,,1,4,,,102,84,186,
,GEOL,69,54,,,8,5,2,1,,,20,5,,2,100,67,167,
,GEOP,16,9,1,1,,1,,,,,21,4,,1,38,16,54,
,GEOS,2,1,,,,,,,,,,,,,2,1,3,
,METR,63,49,,2,2,3,,,,,,1,,,65,55,120,
,OCNG,28,12,,,,3,1,,,,19,10,2,1,50,26,76,
,Sub-Total,303,210,2,4,21,17,4,3,1,2,70,29,3,5,404,270,674,
Liberal Arts,ANTH,69,114,,,6,7,1,3,,,5,6,,4,81,134,215,
,ECOL,,,,,,,,,,,1,,,,1,,1,
,ECON,247,78,8,5,34,8,8,5,4,,58,13,6,2,365,111,476,
,ENGL,131,444,2,5,13,45,6,1,,,6,14,2,9,160,518,678,
,ENLL,,,,,,1,,,,,,,,,,1,1,
,FREN,1,11,,1,,,,,,,,,,,1,12,13,
,GERM,3,8,,,,,,,,,,,,1,3,9,12,
,HIST,256,167,3,3,37,21,4,4,,2,,,12,6,312,203,515,
,INTL,,2,,,,,,,,,,,,,,2,2,
,INTS,44,119,3,4,13,29,4,6,,1,1,1,,,65,160,225,
,JOUL,3,12,,,1,3,,,,,,,,,4,15,19,
,JOUR,169,428,6,23,18,41,5,10,,4,2,,2,5,202,511,713,
,MODL,4,5,,,4,5,,,,,,1,,,8,11,19,
,PHIL,59,14,,,3,1,4,,,,4,,3,1,73,16,89,
,POLL,,,,,,,,,,,,1,,,,1,1,
,POLS,382,254,8,14,49,37,5,5,1,2,9,5,8,5,462,322,784,
,PSYC,239,753,11,37,43,103,9,24,2,5,4,4,3,18,311,944,1255,
,PSYL,,,,,,2,,,,,,,,,,2,2,
,RUSS,4,4,,,,,,,,,,,,1,4,5,9,
,SCOL,1,,,,,,,,,,,,,,1,,1,
,SCOM,127,342,10,10,14,25,2,7,3,2,1,1,5,4,162,391,553,
,SOCI,57,143,9,9,15,18,4,5,,,8,9,1,2,94,186,280,
,SOCL,,1,,,,,,,,,,,,,,1,1,
,SPAN,12,27,,,5,18,1,,1,,1,,,2,20,47,67,
,STJR,6,5,,,,,,1,,1,1,2,1,1,8,10,18,
,THAR,14,28,1,1,5,5,,1,,1,,,,,20,36,56,
,Sub-Total,1828,2959,61,112,260,369,53,72,11,18,101,57,43,61,2357,3648,6005,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,,
