"Spring 2000
Science                    APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
SubTotal
Veterinary                BIML
Medicine                 BIMS EPID GENE TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS
SubTotal
Distance                  EDTC
Education                LCEM PETE
SubTotal
General Studies       GEST
GSEN
SubTotal
G. Bush School        BUSH
of Govt                    SubTotal Total",White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,
,103,,2,,15,,2,,,,1,,,2,,125,,
,473,,30,,98,,54,,1,,21,,,15,,692,,
,84,,3,,9,,13,,,,2,,,2,,113,,
,7,,,,1,,1,,,,1,,,,,10,,
,229,,11,,28,,18,,1,,81,,,5,,373,,
,,,,,,,,,,,1,,,,,1,,
,157,,7,,12,,8,,,,50,,,4,,238,,
,146,,6,,22,,11,,1,,7,,,6,,199,,
,79,,1,,7,,2,,,,71,,,3,,163,,
,2,,,,,,,,,,,,,,,2,,
,21,,1,,,,2,,,,45,,,,,69,,
,,,,,,,1,,,,,,,,,1,,
,160,,2,,15,,6,,,,4,,,3,,190,,
,1461,,63,,207,,118,,3,,284,,,40,,2176,,
,538,,17,,75,,30,,5,,2,,,10,,677,,
,1026,,51,,124,,58,,7,,3,,,18,,1287,,
,2,,,,,,,,,,,,,,,2,,
,11,,,,,,,,,,,,,,,11,,
,23,,,,3,,2,,,,10,,,,,38,,
,1,,,,,,,,,,,,,,,1,,
,1,,,,,,,,,,,,,,,1,,
,7,,1,,1,,,,,,3,,,,,12,,
,14,,,,2,,,,,,4,,,,,20,,
,8,,,,,,,,,,4,,,,,12,,
,448,,,,21,,18,,4,,,,,2,,493,,
,21,,1,,2,,1,,,,13,,,,,38,,
,3,,,,,,,,,,,,,,,3,,
,2103,,70,,228,,109,,16,,39,,,30,,2595,,
,1,,1,,,,,,,,,,,,,2,,
,1,,,,,,,,,,,,,,,1,,
,1,,,,,,,,,,,,,,,1,,
,3,,1,,,,,,,,,,,,,4,,
,2247,,106,,263,,77,,13,,12,,,32,,2750,,
,8,,,,1,,,,,,,,,,,9,,
,2255,,106,,264,,77,,13,,12,,,32,,2759,,
,29,,5,,4,,2,,,,2,,,,,42,,
,29,,5,,4,,2,,,,2,,,,,42,,
,31314,,1058,,3409,,1267,,175,,2833,,,570,,40626,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,
