"Spring 2000
Science                   APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Sub-Total
Veterinary               BIML
Medicine                BIMS EPID GENE TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS
Sub-Total
Distance                  EDTC
Education               LCEM PETE
Sub-Total
General Studies      GEST
GSEN
Sub-Total
G. Bush School      BUSH
of Govt                   Sub-Total GRAND Total",White,,Black,,Hispanic,,Asian,,Am. Indian,,,,International,,Unknown/Other,,,,Total,,"Total
125
692
113
10
373
1
238
199
163
2
69
1
190
2176
677
1287
2
11
38
1
1
12
20
12
493
38
3
2595
2
1
1
4
2750
9
2759
42
42
40626",
,M,F,M,F,M,F,M,F,M,,F,,M,F,M,,F,,M,F,,
,45,58,2,,12,3,1,1,,,,,1,,,2,,,63,62,,
,174,299,9,21,36,62,31,23,,,,1,12,9,,7,,8,269,423,,
,37,47,1,2,3,6,3,10,,,,,,2,,1,,1,45,68,,
,2,5,,,,1,,1,,,,,,1,,,,,2,8,,
,131,98,6,5,16,12,11,7,,1,,,51,30,,1,,4,217,156,,
,,,,,,,,,,,,,1,,,,,,1,,,
,69,88,2,5,5,7,6,2,,,,,38,12,,,,4,120,118,,
,72,74,2,4,11,11,4,7,,,,1,3,4,,2,,4,94,105,,
,72,7,1,,7,,1,1,,,,,61,10,,3,,,145,18,,
,1,1,,,,,,,,,,,,,,,,,1,1,,
,15,6,,1,,,1,1,,,,,23,22,,,,,39,30,,
,,,,,,,,1,,,,,,,,,,,,1,,
,61,99,2,,6,9,2,4,,,,,3,1,,3,,,77,113,,
,679,782,25,38,96,111,60,58,,1,,2,193,91,,19,,21,1073,1103,,
,176,362,2,15,22,53,9,21,,,,5,,2,,4,,6,213,464,,
,354,672,15,36,45,79,24,34,,3,,4,1,2,,7,,11,449,838,,
,,2,,,,,,,,,,,,,,,,,,2,,
,5,6,,,,,,,,,,,,,,,,,5,6,,
,13,10,,,2,1,1,1,,,,,5,5,,,,,21,17,,
,,1,,,,,,,,,,,,,,,,,,1,,
,,1,,,,,,,,,,,,,,,,,,1,,
,3,4,1,,,1,,,,,,,3,,,,,,7,5,,
,7,7,,,1,1,,,,,,,1,3,,,,,9,11,,
,4,4,,,,,,,,,,,2,2,,,,,6,6,,
,154,294,,,2,19,4,14,,1,,3,,,,1,,1,162,331,,
,9,12,1,,2,,,1,,,,,6,7,,,,,18,20,,
,2,1,,,,,,,,,,,,,,,,,2,1,,
,727,1376,19,51,74,154,38,71,,4,,12,18,21,,12,,18,892,1703,,
,1,,,1,,,,,,,,,,,,,,,1,1,,
,1,,,,,,,,,,,,,,,,,,1,,,
,1,,,,,,,,,,,,,,,,,,1,,,
,3,,,1,,,,,,,,,,,,,,,3,1,,
,1117,1130,57,49,143,120,39,38,,5,,8,8,4,,19,,13,1388,1362,,
,6,2,,,1,,,,,,,,,,,,,,7,2,,
,1123,1132,57,49,144,120,39,38,,5,,8,8,4,,19,,13,1395,1364,,
,14,15,2,3,3,1,1,1,,,,,,2,,,,,20,22,,
,14,15,2,3,3,1,1,1,,,,,,2,,,,,20,22,,
,16272,15042,438,620,1759,1650,736,531,,92,,83,2083,750,,304,,266,21684,18942,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,,,,,
