Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,41,,2,,2,,3,,3,,14,,1,,55,,
,ESCI,11,,,,,,,,,,,,,,13,,
,GEOG,158,,,,14,,,,,,5,,,,186,,
,GEOL,123,,,,13,,3,,,,25,,3,,167,,
,GEOP,25,,2,,1,,,,,,25,,1,,54,,
,GEOS,3,,,,,,,,,,,,,,3,,
,METR,112,,2,,5,,,,,,1,,,,120,,
,OCNG,40,,,,3,,1,,,,29,,3,,76,,
,SubTotal,513,,6,,38,,7,,3,,99,,8,,674,,
Liberal Arts,ANTH,183,,,,13,,4,,,,11,,4,,215,,
,ECOL,,,,,,,,,,,1,,,,1,,
,ECON,325,,13,,42,,13,,4,,71,,8,,476,,
,ENGL,575,,7,,58,,7,,,,20,,11,,678,,
,ENLL,,,,,1,,,,,,,,,,1,,
,FREN,12,,1,,,,,,,,,,,,13,,
,GERM,11,,,,,,,,,,,,1,,12,,
,HIST,423,,6,,58,,8,,2,,,,18,,515,,
,INTL,2,,,,,,,,,,,,,,2,,
,INTS,163,,7,,42,,10,,1,,2,,,,225,,
,JOUL,15,,,,4,,,,,,,,,,19,,
,JOUR,597,,29,,59,,15,,4,,2,,7,,713,,
,MODL,9,,,,9,,,,,,1,,,,19,,
,PHIL,73,,,,4,,4,,,,4,,4,,89,,
,POLL,,,,,,,,,,,1,,,,1,,
,POLS,636,,22,,86,,10,,3,,14,,13,,784,,
,PSYC,992,,48,,146,,33,,7,,8,,21,,1255,,
,PSYL,,,,,2,,,,,,,,,,2,,
,RUSS,8,,,,,,,,,,,,1,,9,,
,SCOL,1,,,,,,,,,,,,,,1,,
,SCOM,469,,20,,39,,9,,5,,2,,9,,553,,
,SOCI,200,,18,,33,,9,,,,17,,3,,280,,
,SOCL,1,,,,,,,,,,,,,,1,,
,SPAN,39,,,,23,,1,,1,,1,,2,,67,,
,STJR,11,,,,,,1,,1,,3,,2,,18,,
,THAR,42,,2,,10,,1,,1,,,,,,56,,
,SubTotal,4787,,173,,629,,125,,29,,158,,104,,6005,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,
